"date","Owners","event","link","color","Price","val3"
"2019-05-26","4628000","","","#2B6A94","0",""
"2019-05-27","4628000","","","","0",""
"2019-05-28","4628000","","","","0",""
"2019-05-29","4753000","","","","29.99",""
"2019-05-30","4755000","","","","29.99",""
"2019-05-31","4755000","","","","29.99",""
"2019-06-01","4763000","","","","29.99",""
"2019-06-02","4769000","","","#2B6A94","29.99",""
"2019-06-03","4761000","","","","29.99",""
"2019-06-04","4775000","","","","7.49",""
"2019-06-05","4780000","","","","7.49",""
"2019-06-06","4783000","","","","7.49",""
"2019-06-07","4785000","","","","7.49",""
"2019-06-08","4795000","","","","7.49",""
"2019-06-09","4794000","","","#2B6A94","7.49",""
"2019-06-10","4786000","","","","7.49",""
"2019-06-11","4784000","","","","29.99",""
"2019-06-12","4781000","","","","29.99",""
"2019-06-13","4779000","","","","29.99",""
"2019-06-14","4781000","","","","29.99",""
"2019-06-15","4787000","","","","29.99",""
"2019-06-16","4789000","","","#2B6A94","29.99",""
"2019-06-17","4785000","","","","29.99",""
"2019-06-18","4778000","","","","29.99",""
"2019-06-19","4775000","","","","29.99",""
"2019-06-20","4780000","","","","29.99",""
"2019-06-21","4779000","","","","29.99",""
"2019-06-22","4791000","","","","29.99",""
"2019-06-23","4792000","","","#2B6A94","29.99",""
"2019-06-24","4780000","","","","29.99",""
"2019-06-25","4780000","","","","29.99",""
"2019-06-26","4786000","","","","7.49",""
"2019-06-27","4794000","","","","7.49",""
"2019-06-28","4798000","","","","7.49",""
"2019-06-29","4806000","","","","7.49",""
"2019-06-30","4806000","","","#2B6A94","7.49",""
"2019-07-01","4799000","","","","7.49",""
"2019-07-02","4800000","","","","7.49",""
"2019-07-03","4798000","","","","7.49",""
"2019-07-04","4797000","","","","7.49",""
"2019-07-05","4799000","","","","7.49",""
"2019-07-06","4804000","","","","7.49",""
"2019-07-07","4808000","","","#2B6A94","7.49",""
"2019-07-08","4800000","","","","7.49",""
"2019-07-09","4803000","","","","7.49",""
"2019-07-10","4799000","","","","29.99",""
"2019-07-11","4799000","","","","29.99",""
"2019-07-12","4796000","","","","29.99",""
"2019-07-13","4802000","","","","29.99",""
"2019-07-14","4805000","","","#2B6A94","29.99",""
"2019-07-15","4799000","","","","29.99",""
"2019-07-16","4793000","","","","29.99",""
"2019-07-17","4795000","","","","29.99",""
"2019-07-18","4792000","","","","29.99",""
"2019-07-19","4794000","","","","29.99",""
"2019-07-20","4804000","","","","29.99",""
"2019-07-21","4811000","","","#2B6A94","29.99",""
"2019-07-22","4800000","","","","29.99",""
"2019-07-23","4791000","","","","29.99",""
"2019-07-24","4792000","","","","29.99",""
"2019-07-25","4794000","","","","29.99",""
"2019-07-26","4791000","","","","29.99",""
"2019-07-27","4800000","","","","29.99",""
"2019-07-28","4807000","","","#2B6A94","29.99",""
"2019-07-29","4797000","","","","29.99",""
"2019-07-30","4794000","","","","29.99",""
"2019-07-31","4793000","","","","29.99",""
"2019-08-01","4792000","","","","29.99",""
"2019-08-02","4793000","","","","29.99",""
"2019-08-03","4803000","","","","29.99",""
"2019-08-04","4810000","","","#2B6A94","29.99",""
"2019-08-05","4802000","","","","29.99",""
"2019-08-06","4797000","","","","29.99",""
"2019-08-07","4798000","","","","29.99",""
"2019-08-08","4797000","","","","29.99",""
"2019-08-09","4797000","","","","29.99",""
"2019-08-10","4806000","","","","29.99",""
"2019-08-11","4812000","","","#2B6A94","29.99",""
"2019-08-12","4805000","","","","29.99",""
"2019-08-13","4799000","","","","29.99",""
"2019-08-14","4795000","","","","29.99",""
"2019-08-15","4800000","","","","29.99",""
"2019-08-16","4801000","","","","29.99",""
"2019-08-17","4809000","","","","29.99",""
"2019-08-18","4818000","","","#2B6A94","29.99",""
"2019-08-19","4802000","","","","29.99",""
"2019-08-20","4799000","","","","29.99",""
"2019-08-21","4801000","","","","29.99",""
"2019-08-22","4800000","","","","29.99",""
