"date","Owners","event","link","color","Price","val3"
"2019-05-26","4945000","","","#2B6A94","0",""
"2019-05-27","4945000","","","","0",""
"2019-05-28","4945000","","","","0",""
"2019-05-29","5019000","","","","0",""
"2019-05-30","5018000","","","","19.99",""
"2019-05-31","5020000","","","","19.99",""
"2019-06-01","5017000","","","","19.99",""
"2019-06-02","5013000","","","#2B6A94","19.99",""
"2019-06-03","5016000","","","","19.99",""
"2019-06-04","5013000","","","","6.59",""
"2019-06-05","5010000","","","","6.59",""
"2019-06-06","5008000","","","","6.59",""
"2019-06-07","5004000","","","","6.59",""
"2019-06-08","5002000","","","","6.59",""
"2019-06-09","5001000","","","#2B6A94","6.59",""
"2019-06-10","5008000","","","","6.59",""
"2019-06-11","5010000","","","","19.99",""
"2019-06-12","5013000","","","","19.99",""
"2019-06-13","5014000","","","","19.99",""
"2019-06-14","5017000","","","","19.99",""
"2019-06-15","5013000","","","","19.99",""
"2019-06-16","5011000","","","#2B6A94","19.99",""
"2019-06-17","5015000","","","","19.99",""
"2019-06-18","5016000","","","","19.99",""
"2019-06-19","5016000","","","","19.99",""
"2019-06-20","5018000","","","","19.99",""
"2019-06-21","5023000","","","","19.99",""
"2019-06-22","5020000","","","","19.99",""
"2019-06-23","5019000","","","#2B6A94","19.99",""
"2019-06-24","5018000","","","","19.99",""
"2019-06-25","5020000","","","","19.99",""
"2019-06-26","5021000","","","","19.99",""
"2019-06-27","5019000","","","","19.99",""
"2019-06-28","5017000","","","","6.59",""
"2019-06-29","5006000","","","","6.59",""
"2019-06-30","4996000","","","#2B6A94","6.59",""
"2019-07-01","4993000","","","","6.59",""
"2019-07-02","4982000","","","","6.59",""
"2019-07-03","4980000","","","","6.59",""
"2019-07-04","4977000","","","","6.59",""
"2019-07-05","4981000","","","","6.59",""
"2019-07-06","4975000","","","","6.59",""
"2019-07-07","4973000","","","#2B6A94","6.59",""
"2019-07-08","4970000","","","","6.59",""
"2019-07-09","4969000","","","","19.99",""
"2019-07-10","4967000","","","","19.99",""
"2019-07-11","4969000","","","","19.99",""
"2019-07-12","4970000","","","","19.99",""
"2019-07-13","4969000","","","","19.99",""
"2019-07-14","4968000","","","#2B6A94","19.99",""
"2019-07-15","4969000","","","","19.99",""
"2019-07-16","4969000","","","","19.99",""
"2019-07-17","4974000","","","","19.99",""
"2019-07-18","4971000","","","","19.99",""
"2019-07-19","4973000","","","","19.99",""
"2019-07-20","4970000","","","","19.99",""
"2019-07-21","4974000","","","#2B6A94","19.99",""
"2019-07-22","4975000","","","","19.99",""
"2019-07-23","4975000","","","","19.99",""
"2019-07-24","4977000","","","","19.99",""
"2019-07-25","4978000","","","","19.99",""
"2019-07-26","4978000","","","","19.99",""
"2019-07-27","4978000","","","","19.99",""
"2019-07-28","4977000","","","#2B6A94","19.99",""
"2019-07-29","4978000","","","","19.99",""
"2019-07-30","4981000","","","","19.99",""
"2019-07-31","4982000","","","","19.99",""
"2019-08-01","4988000","","","","19.99",""
"2019-08-02","4988000","","","","19.99",""
"2019-08-03","4987000","","","","19.99",""
"2019-08-04","4986000","","","#2B6A94","19.99",""
"2019-08-05","4988000","","","","19.99",""
"2019-08-06","4991000","","","","19.99",""
"2019-08-07","4991000","","","","19.99",""
"2019-08-08","4992000","","","","19.99",""
"2019-08-09","4994000","","","","19.99",""
"2019-08-10","4993000","","","","19.99",""
"2019-08-11","4991000","","","#2B6A94","19.99",""
"2019-08-12","4997000","","","","19.99",""
"2019-08-13","4999000","","","","19.99",""
"2019-08-14","5001000","","","","19.99",""
"2019-08-15","5002000","","","","19.99",""
"2019-08-16","5006000","","","","19.99",""
"2019-08-17","5004000","","","","19.99",""
"2019-08-18","5006000","","","#2B6A94","19.99",""
"2019-08-19","5008000","","","","19.99",""
"2019-08-20","5012000","","","","19.99",""
"2019-08-21","5013000","","","","19.99",""
"2019-08-22","5012000","","","","19.99",""
"2019-08-23","5011000","","","","19.99",""
"2019-08-24","5011000","","","","19.99",""
"2019-08-25","5011000","","","#2B6A94","19.99",""
"2019-08-26","5011000","","","","19.99",""
"2019-08-27","5018000","","","","19.99",""
"2019-08-28","5020000","","","","19.99",""
"2019-08-29","5019000","","","","19.99",""
"2019-08-30","5021000","","","","19.99",""
"2019-08-31","5022000","","","","19.99",""
"2019-09-01","5020000","","","#2B6A94","19.99",""
"2019-09-02","5022000","","","","19.99",""
"2019-09-03","5017000","","","","6.59",""
"2019-09-04","5014000","","","","6.59",""
"2019-09-05","5016000","","","","6.59",""
"2019-09-06","5016000","","","","6.59",""
"2019-09-07","5015000","","","","6.59",""
"2019-09-08","5014000","","","#2B6A94","6.59",""
"2019-09-09","5019000","","","","6.59",""
"2019-09-10","5018000","","","","6.59",""
"2019-09-11","5017000","","","","6.59",""
"2019-09-12","5019000","","","","6.59",""
"2019-09-13","5017000","","","","6.59",""
"2019-09-14","5013000","","","","6.59",""
"2019-09-15","5012000","","","#2B6A94","6.59",""
"2019-09-16","5016000","","","","6.59",""
"2019-09-17","5019000","","","","6.59",""
"2019-09-18","5021000","","","","6.59",""
"2019-09-19","5026000","","","","19.99",""
"2019-09-20","5033000","","","","19.99",""
"2019-09-21","5031000","","","","19.99",""
"2019-09-22","5031000","","","#2B6A94","19.99",""
"2019-09-23","5035000","","","","19.99",""
"2019-09-24","5042000","","","","19.99",""
"2019-09-25","5041000","","","","19.99",""
