"date","Owners","event","link","color","Price","val3"
"2019-05-26","1654000","","","#2B6A94","0",""
"2019-05-27","1654000","","","","0",""
"2019-05-28","1654000","","","","0",""
"2019-05-29","1522000","","","","39.99",""
"2019-05-30","1521000","","","","39.99",""
"2019-05-31","1520000","","","","39.99",""
"2019-06-01","1509000","","","","39.99",""
"2019-06-02","1501000","","","#2B6A94","39.99",""
"2019-06-03","1521000","","","","39.99",""
"2019-06-04","1525000","","","","39.99",""
"2019-06-05","1527000","","","","39.99",""
"2019-06-06","1528000","","","","39.99",""
"2019-06-07","1502000","Larian Studios is making Baldur\'s Gate 3!","https://steamstore-a.akamaihd.net/news/externalpost/steam_community_announcements/2411028931143444382","#0DAD9E","11.99",""
"2019-06-08","1471000","","","","11.99",""
"2019-06-09","1444000","","","#2B6A94","11.99",""
"2019-06-10","1471000","","","","11.99",""
"2019-06-11","1484000","","","","39.99",""
"2019-06-12","1484000","","","","39.99",""
"2019-06-13","1491000","","","","39.99",""
"2019-06-14","1494000","","","","39.99",""
"2019-06-15","1475000","","","","39.99",""
"2019-06-16","1468000","","","#2B6A94","39.99",""
"2019-06-17","1491000","","","","39.99",""
"2019-06-18","1491000","","","","39.99",""
"2019-06-19","1509000","","","","39.99",""
"2019-06-20","1502000","","","","39.99",""
"2019-06-21","1512000","","","","39.99",""
"2019-06-22","1488000","","","","39.99",""
"2019-06-23","1485000","","","#2B6A94","39.99",""
"2019-06-24","1507000","","","","39.99",""
"2019-06-25","1515000","","","","39.99",""
"2019-06-26","1510000","","","","11.99",""
"2019-06-27","1506000","","","","11.99",""
"2019-06-28","1509000","","","","11.99",""
"2019-06-29","1485000","","","","11.99",""
"2019-06-30","1458000","","","#2B6A94","11.99",""
"2019-07-01","1491000","","","","11.99",""
"2019-07-02","1503000","","","","11.99",""
"2019-07-03","1504000","","","","11.99",""
"2019-07-04","1486000","","","","11.99",""
"2019-07-05","1498000","","","","11.99",""
"2019-07-06","1473000","","","","11.99",""
"2019-07-07","1443000","","","#2B6A94","11.99",""
"2019-07-08","1483000","","","","11.99",""
"2019-07-09","1484000","","","","11.99",""
"2019-07-10","1488000","","","","39.99",""
"2019-07-11","1494000","","","","39.99",""
"2019-07-12","1501000","","","","39.99",""
"2019-07-13","1481000","","","","39.99",""
"2019-07-14","1463000","","","#2B6A94","39.99",""
"2019-07-15","1491000","","","","39.99",""
"2019-07-16","1498000","","","","39.99",""
"2019-07-17","1503000","","","","39.99",""
"2019-07-18","1507000","","","","39.99",""
"2019-07-19","1510000","","","","39.99",""
"2019-07-20","1498000","","","","39.99",""
"2019-07-21","1482000","","","#2B6A94","39.99",""
"2019-07-22","1503000","","","","39.99",""
"2019-07-23","1511000","","","","39.99",""
"2019-07-24","1516000","","","","39.99",""
"2019-07-25","1515000","","","","39.99",""
"2019-07-26","1514000","","","","39.99",""
