"date","Owners","event","link","color","Price","val3"
"2019-05-26","3038000","","","#2B6A94","0",""
"2019-05-27","3038000","","","","0",""
"2019-05-28","3038000","","","","0",""
"2019-05-29","3107000","","","","44.99",""
"2019-05-30","3108000","","","","44.99",""
"2019-05-31","3108000","","","","44.99",""
"2019-06-01","3126000","","","","44.99",""
"2019-06-02","3138000","","","#2B6A94","44.99",""
"2019-06-03","3123000","","","","44.99",""
"2019-06-04","3111000","","","","44.99",""
"2019-06-05","3108000","","","","44.99",""
"2019-06-06","3111000","","","","44.99",""
"2019-06-07","3134000","Larian Studios is making Baldur\'s Gate 3!","https://steamstore-a.akamaihd.net/news/externalpost/steam_community_announcements/2411028931143444383","#0DAD9E","26.99",""
"2019-06-08","3166000","","","","26.99",""
"2019-06-09","3183000","","","#2B6A94","26.99",""
"2019-06-10","3179000","","","","26.99",""
"2019-06-11","3167000","","","","44.99",""
"2019-06-12","3165000","","","","44.99",""
"2019-06-13","3165000","","","","44.99",""
"2019-06-14","3162000","","","","44.99",""
"2019-06-15","3184000","","","","44.99",""
"2019-06-16","3192000","","","#2B6A94","44.99",""
"2019-06-17","3176000","","","","44.99",""
"2019-06-18","3163000","","","","44.99",""
"2019-06-19","3163000","","","","44.99",""
"2019-06-20","3165000","","","","44.99",""
"2019-06-21","3162000","","","","44.99",""
"2019-06-22","3180000","","","","44.99",""
"2019-06-23","3190000","","","#2B6A94","44.99",""
"2019-06-24","3178000","","","","44.99",""
"2019-06-25","3167000","","","","44.99",""
"2019-06-26","3173000","","","","26.99",""
"2019-06-27","3178000","","","","26.99",""
"2019-06-28","3187000","","","","26.99",""
"2019-06-29","3211000","","","","26.99",""
"2019-06-30","3271000","","","#2B6A94","26.99",""
"2019-07-01","3289000","","","","26.99",""
"2019-07-02","3315000","","","","26.99",""
"2019-07-03","3329000","","","","26.99",""
"2019-07-04","3347000","","","","26.99",""
"2019-07-05","3355000","","","","26.99",""
"2019-07-06","3365000","","","","26.99",""
"2019-07-07","3381000","","","#2B6A94","26.99",""
"2019-07-08","3383000","","","","26.99",""
"2019-07-09","3383000","","","","26.99",""
"2019-07-10","3385000","","","","44.99",""
"2019-07-11","3387000","","","","44.99",""
"2019-07-12","3388000","","","","44.99",""
"2019-07-13","3396000","","","","44.99",""
"2019-07-14","3402000","","","#2B6A94","44.99",""
"2019-07-15","3396000","","","","44.99",""
"2019-07-16","3391000","","","","44.99",""
"2019-07-17","3391000","","","","44.99",""
"2019-07-18","3391000","","","","44.99",""
"2019-07-19","3392000","","","","44.99",""
"2019-07-20","3401000","","","","44.99",""
"2019-07-21","3406000","","","#2B6A94","44.99",""
"2019-07-22","3403000","","","","44.99",""
"2019-07-23","3397000","","","","44.99",""
"2019-07-24","3397000","","","","44.99",""
"2019-07-25","3397000","","","","44.99",""
"2019-07-26","3398000","","","","44.99",""
"2019-07-27","3404000","","","","44.99",""
"2019-07-28","3411000","","","#2B6A94","44.99",""
"2019-07-29","3405000","","","","44.99",""
"2019-07-30","3403000","","","","44.99",""
"2019-07-31","3405000","","","","44.99",""
"2019-08-01","3405000","","","","44.99",""
"2019-08-02","3407000","","","","44.99",""
"2019-08-03","3411000","","","","44.99",""
"2019-08-04","3417000","","","#2B6A94","44.99",""
"2019-08-05","3413000","","","","44.99",""
"2019-08-06","3412000","","","","44.99",""
"2019-08-07","3412000","","","","44.99",""
"2019-08-08","3412000","","","","44.99",""
"2019-08-09","3413000","","","","44.99",""
"2019-08-10","3417000","","","","44.99",""
"2019-08-11","3423000","","","#2B6A94","44.99",""
"2019-08-12","3419000","","","","44.99",""
"2019-08-13","3418000","","","","44.99",""
"2019-08-14","3416000","","","","44.99",""
"2019-08-15","3418000","","","","44.99",""
"2019-08-16","3419000","","","","44.99",""
"2019-08-17","3423000","","","","44.99",""
"2019-08-18","3426000","","","#2B6A94","44.99",""
"2019-08-19","3424000","","","","44.99",""
"2019-08-20","3424000","","","","44.99",""
"2019-08-21","3425000","","","","44.99",""
"2019-08-22","3425000","","","","44.99",""
"2019-08-23","3426000","","","","44.99",""
"2019-08-24","3426000","","","","44.99",""
"2019-08-25","3426000","","","#2B6A94","44.99",""
"2019-08-26","3432000","","","","44.99",""
"2019-08-27","3431000","","","","44.99",""
"2019-08-28","3431000","","","","44.99",""
"2019-08-29","3431000","","","","44.99",""
"2019-08-30","3431000","","","","44.99",""
"2019-08-31","3438000","","","","44.99",""
"2019-09-01","3441000","","","#2B6A94","44.99",""
"2019-09-02","3441000","","","","44.99",""
"2019-09-03","3440000","","","","44.99",""
"2019-09-04","3438000","Gift Bag 2 and Nintendo Switch cross-saves!<br>Daily Deal - Divinity: Original Sin 2 - Definitive Edition, 40% Off","https://steamstore-a.akamaihd.net/news/externalpost/steam_community_announcements/2413288973186584580","#0DAD9E","44.99",""
"2019-09-05","3443000","","","","26.99",""
"2019-09-06","3447000","","","","26.99",""
"2019-09-07","3451000","","","","44.99",""
"2019-09-08","3454000","","","#2B6A94","44.99",""
"2019-09-09","3455000","","","","44.99",""
"2019-09-10","3454000","","","","44.99",""
"2019-09-11","3455000","","","","44.99",""
"2019-09-12","3455000","","","","44.99",""
"2019-09-13","3456000","","","","44.99",""
"2019-09-14","3460000","","","","44.99",""
"2019-09-15","3462000","","","#2B6A94","44.99",""
"2019-09-16","2786000","Larian\'s Great Valve Heist!","https://steamstore-a.akamaihd.net/news/externalpost/steam_community_announcements/3658535001306553258","#0DAD9E","44.99",""
"2019-09-17","3463000","","","","26.99",""
"2019-09-18","3469000","","","","26.99",""
"2019-09-19","3471000","","","","26.99",""
"2019-09-20","3473000","","","","26.99",""
"2019-09-21","3474000","","","","44.99",""
"2019-09-22","3478000","","","#2B6A94","44.99",""
"2019-09-23","3478000","","","","44.99",""
"2019-09-24","3478000","","","","44.99",""
"2019-09-25","3483000","","","","44.99",""
"2019-09-26","3486000","","","","44.99",""
"2019-09-27","2817000","","","","44.99",""
"2019-09-28","3487000","","","","44.99",""
"2019-09-29","3486000","","","#2B6A94","44.99",""
"2019-09-30","3492000","","","","44.99",""
"2019-10-01","3492000","","","","44.99",""
"2019-10-02","3493000","","","","44.99",""
"2019-10-03","3494000","","","","44.99",""
"2019-10-04","3499000","","","","44.99",""
"2019-10-05","3499000","","","","44.99",""
"2019-10-06","3498000","","","#2B6A94","44.99",""
"2019-10-07","3504000","","","","44.99",""
"2019-10-08","3506000","","","","44.99",""
"2019-10-09","3506000","","","","44.99",""
"2019-10-10","3507000","","","","44.99",""
"2019-10-11","3508000","","","","44.99",""
"2019-10-12","3508000","","","","44.99",""
"2019-10-13","3509000","","","#2B6A94","44.99",""
"2019-10-14","3514000","","","","44.99",""
"2019-10-15","3512000","","","","44.99",""
"2019-10-16","3514000","","","","44.99",""
"2019-10-17","3515000","","","","44.99",""
"2019-10-18","3518000","","","","44.99",""
"2019-10-19","3519000","","","","44.99",""
"2019-10-20","3518000","","","#2B6A94","44.99",""
"2019-10-21","3524000","","","","44.99",""
"2019-10-22","3522000","","","","44.99",""
"2019-10-23","3523000","","","","44.99",""
"2019-10-24","3367000","","","","44.99",""
"2019-10-25","3524000","","","","44.99",""
"2019-10-26","3530000","","","","44.99",""
"2019-10-27","3533000","","","#2B6A94","44.99",""
"2019-10-28","3534000","","","","44.99",""
"2019-10-29","3535000","","","","26.99",""
"2019-10-30","3537000","","","","26.99",""
"2019-10-31","3543000","","","","26.99",""
"2019-11-01","3552000","","","","26.99",""
"2019-11-02","3552000","","","","44.99",""
"2019-11-03","2905000","","","#2B6A94","44.99",""
"2019-11-04","3565000","","","","44.99",""
"2019-11-05","3571000","","","","44.99",""
"2019-11-06","3575000","","","","44.99",""
"2019-11-07","3579000","","","","44.99",""
"2019-11-08","3582000","Gift Bag 3: Order  Magic Plus Japanese Language Now Available!","https://steamstore-a.akamaihd.net/news/externalpost/steam_community_announcements/2448197582022833887","#0DAD9E","44.99",""
"2019-11-09","3579000","","","","44.99",""
"2019-11-10","3581000","","","#2B6A94","44.99",""
"2019-11-11","3588000","","","","24.74",""
"2019-11-12","3594000","","","","24.74",""
"2019-11-13","3597000","","","","44.99",""
"2019-11-14","3597000","","","","44.99",""
"2019-11-15","3604000","","","","44.99",""
"2019-11-16","3602000","","","","44.99",""
"2019-11-17","3602000","","","#2B6A94","44.99",""
"2019-11-18","3609000","","","","44.99",""
"2019-11-19","3616000","","","","44.99",""
"2019-11-20","3618000","Divinity: Original Sin is going analogue!","https://steamstore-a.akamaihd.net/news/externalpost/steam_community_announcements/2468465044714269065","#0DAD9E","44.99",""
"2019-11-21","3620000","","","","24.74",""
"2019-11-22","3620000","","","","24.74",""
"2019-11-23","3625000","","","","24.74",""
"2019-11-24","3626000","","","#2B6A94","24.74",""
"2019-11-25","3630000","","","","24.74",""
"2019-11-26","3635000","","","","44.99",""
"2019-11-27","3648000","","","","24.74",""
"2019-11-28","3660000","","","","24.74",""
"2019-11-29","3672000","","","","24.74",""
"2019-11-30","3681000","","","","24.74",""
"2019-12-01","3687000","","","#2B6A94","24.74",""
"2019-12-02","3697000","","","","24.74",""
"2019-12-03","3707000","","","","24.74",""
"2019-12-04","3713000","","","","44.99",""
"2019-12-05","3717000","","","","44.99",""
"2019-12-06","3720000","","","","44.99",""
"2019-12-07","3722000","","","","44.99",""
"2019-12-08","3721000","","","#2B6A94","44.99",""
"2019-12-09","3735000","","","","44.99",""
"2019-12-10","3737000","","","","44.99",""
"2019-12-11","3742000","","","","44.99",""
"2019-12-12","3745000","","","","44.99",""
"2019-12-13","3769000","","","","44.99",""
"2019-12-14","3772000","","","","44.99",""
"2019-12-15","3777000","","","#2B6A94","44.99",""
"2019-12-16","3781000","","","","44.99",""
