"date","Owners","event","link","color","Price","val3"
"2019-05-26","10920000","","","#2B6A94","0",""
"2019-05-27","10920000","","","","0",""
"2019-05-28","10920000","","","","0",""
"2019-05-29","10996000","","","","29.99",""
"2019-05-30","10993000","","","","29.99",""
"2019-05-31","11002000","","","","29.99",""
"2019-06-01","11013000","","","","29.99",""
"2019-06-02","11014000","","","#2B6A94","29.99",""
"2019-06-03","11014000","","","","29.99",""
"2019-06-04","11017000","","","","29.99",""
"2019-06-05","11021000","","","","29.99",""
"2019-06-06","11020000","","","","29.99",""
"2019-06-07","11025000","","","","29.99",""
"2019-06-08","11034000","","","","29.99",""
"2019-06-09","11035000","","","#2B6A94","29.99",""
"2019-06-10","11040000","","","","29.99",""
"2019-06-11","11046000","","","","29.99",""
"2019-06-12","11049000","","","","29.99",""
"2019-06-13","11053000","","","","29.99",""
"2019-06-14","11052000","","","","29.99",""
"2019-06-15","11063000","","","","29.99",""
"2019-06-16","11066000","","","#2B6A94","29.99",""
"2019-06-17","11066000","","","","29.99",""
"2019-06-18","11070000","","","","29.99",""
"2019-06-19","11074000","","","","29.99",""
"2019-06-20","11072000","","","","29.99",""
"2019-06-21","11079000","","","","29.99",""
"2019-06-22","11087000","","","","29.99",""
"2019-06-23","11090000","","","#2B6A94","29.99",""
"2019-06-24","11094000","","","","29.99",""
"2019-06-25","11098000","","","","29.99",""
"2019-06-26","11099000","","","","14.99",""
"2019-06-27","11114000","","","","14.99",""
"2019-06-28","11135000","","","","14.99",""
"2019-06-29","11151000","","","","14.99",""
"2019-06-30","11340000","","","#2B6A94","14.99",""
"2019-07-01","11457000","","","","14.99",""
"2019-07-02","11565000","","","","14.99",""
"2019-07-03","11646000","","","","14.99",""
"2019-07-04","11742000","","","","14.99",""
"2019-07-05","11824000","","","","14.99",""
"2019-07-06","13669000","","","","14.99",""
"2019-07-07","11975000","","","#2B6A94","14.99",""
"2019-07-08","11980000","","","","14.99",""
"2019-07-09","11991000","","","","14.99",""
"2019-07-10","11995000","","","","29.99",""
"2019-07-11","11973000","","","","29.99",""
"2019-07-12","11974000","","","","29.99",""
"2019-07-13","11981000","","","","29.99",""
"2019-07-14","11989000","","","#2B6A94","29.99",""
"2019-07-15","11963000","","","","29.99",""
"2019-07-16","11962000","","","","29.99",""
"2019-07-17","11959000","","","","29.99",""
"2019-07-18","11961000","","","","29.99",""
"2019-07-19","11981000","","","","29.99",""
"2019-07-20","12000000","","","","29.99",""
"2019-07-21","12015000","","","#2B6A94","29.99",""
"2019-07-22","12010000","","","","29.99",""
"2019-07-23","12590000","Grand Opening: The Diamond Casino  Resort is Now Open","https://steamstore-a.akamaihd.net/news/externalpost/steam_community_announcements/2413284533111302776","#0DAD9E","14.99",""
"2019-07-24","12283000","","","","14.99",""
"2019-07-25","12255000","","","","14.99",""
"2019-07-26","12261000","","","","14.99",""
"2019-07-27","12301000","","","","14.99",""
"2019-07-28","12374000","","","#2B6A94","14.99",""
"2019-07-29","12308000","","","","14.99",""
"2019-07-30","12321000","","","","14.99",""
"2019-07-31","12321000","","","","14.99",""
"2019-08-01","12298000","","","","14.99",""
"2019-08-02","12303000","","","","14.99",""
"2019-08-03","12326000","","","","14.99",""
"2019-08-04","12353000","","","#2B6A94","14.99",""
"2019-08-05","12304000","","","","14.99",""
"2019-08-06","12304000","","","","14.99",""
"2019-08-07","12288000","","","","29.99",""
"2019-08-08","12312000","","","","29.99",""
"2019-08-09","12310000","","","","29.99",""
"2019-08-10","12328000","","","","29.99",""
"2019-08-11","12337000","","","#2B6A94","29.99",""
"2019-08-12","12282000","","","","29.99",""
"2019-08-13","12281000","","","","29.99",""
"2019-08-14","12283000","","","","29.99",""
"2019-08-15","12292000","","","","29.99",""
"2019-08-16","12294000","","","","29.99",""
"2019-08-17","12305000","","","","29.99",""
"2019-08-18","12314000","","","#2B6A94","29.99",""
"2019-08-19","12295000","","","","29.99",""
"2019-08-20","12299000","","","","29.99",""
"2019-08-21","12314000","","","","29.99",""
"2019-08-22","12328000","","","","29.99",""
"2019-08-23","12309000","","","","14.99",""
"2019-08-24","12309000","","","","14.99",""
"2019-08-25","12309000","","","#2B6A94","14.99",""
"2019-08-26","12309000","","","","14.99",""
"2019-08-27","12346000","","","","14.99",""
"2019-08-28","12357000","","","","14.99",""
"2019-08-29","12371000","","","","14.99",""
"2019-08-30","12386000","","","","29.99",""
"2019-08-31","12399000","","","","29.99",""
"2019-09-01","12401000","","","#2B6A94","29.99",""
"2019-09-02","12409000","","","","29.99",""
"2019-09-03","12422000","","","","29.99",""
"2019-09-04","12407000","","","","29.99",""
"2019-09-05","12399000","","","","29.99",""
"2019-09-06","12443000","","","","29.99",""
"2019-09-07","12413000","","","","29.99",""
"2019-09-08","12417000","","","#2B6A94","29.99",""
"2019-09-09","12430000","","","","29.99",""
"2019-09-10","12444000","","","","29.99",""
"2019-09-11","12444000","","","","29.99",""
"2019-09-12","12421000","","","","29.99",""
"2019-09-13","12423000","","","","29.99",""
"2019-09-14","12475000","","","","29.99",""
"2019-09-15","12475000","","","#2B6A94","29.99",""
"2019-09-16","12565000","","","","29.99",""
"2019-09-17","12565000","","","","29.99",""
"2019-09-18","12668000","","","","29.99",""
"2019-09-19","12647000","","","","29.99",""
