"date","Owners","event","link","color","Price","val3"
"2019-05-26","2289000","","","#2B6A94","0",""
"2019-05-27","2289000","","","","0",""
"2019-05-28","2289000","","","","0",""
"2019-05-29","2724000","","","","9.99",""
"2019-05-30","2725000","","","","9.99",""
"2019-05-31","2728000","","","","9.99",""
"2019-06-01","2308000","","","","9.99",""
"2019-06-02","2740000","","","#2B6A94","9.99",""
"2019-06-03","2732000","","","","9.99",""
"2019-06-04","2735000","","","","9.99",""
"2019-06-05","2300000","","","","9.99",""
"2019-06-06","2737000","","","","9.99",""
"2019-06-07","2307000","","","","9.99",""
"2019-06-08","2322000","","","","9.99",""
"2019-06-09","2755000","","","#2B6A94","9.99",""
"2019-06-10","2755000","","","","9.99",""
"2019-06-11","2742000","","","","9.99",""
"2019-06-12","2751000","","","","9.99",""
"2019-06-13","2744000","","","","9.99",""
"2019-06-14","2314000","","","","9.99",""
"2019-06-15","2755000","","","","9.99",""
"2019-06-16","2755000","","","#2B6A94","9.99",""
"2019-06-17","2758000","","","","9.99",""
"2019-06-18","2319000","","","","9.99",""
"2019-06-19","2322000","","","","9.99",""
"2019-06-20","2747000","","","","9.99",""
"2019-06-21","2748000","","","","9.99",""
"2019-06-22","2759000","","","","9.99",""
"2019-06-23","2335000","","","#2B6A94","9.99",""
"2019-06-24","2753000","","","","9.99",""
"2019-06-25","2334000","","","","9.99",""
"2019-06-26","2349000","","","","3.49",""
"2019-06-27","2345000","","","","3.49",""
"2019-06-28","2784000","","","","3.49",""
"2019-06-29","2813000","","","","3.49",""
"2019-06-30","2298000","","","#2B6A94","3.49",""
"2019-07-01","2264000","","","","3.49",""
"2019-07-02","2835000","","","","3.49",""
"2019-07-03","2227000","","","","3.49",""
"2019-07-04","2204000","","","","3.49",""
"2019-07-05","2822000","","","","3.49",""
"2019-07-06","2830000","","","","3.49",""
"2019-07-07","2839000","","","#2B6A94","3.49",""
"2019-07-08","2821000","","","","3.49",""
"2019-07-09","2173000","","","","3.49",""
"2019-07-10","2154000","","","","9.99",""
"2019-07-11","2802000","","","","9.99",""
"2019-07-12","2793000","","","","9.99",""
"2019-07-13","2808000","","","","9.99",""
"2019-07-14","2160000","","","#2B6A94","9.99",""
"2019-07-15","2149000","","","","9.99",""
"2019-07-16","2801000","","","","9.99",""
"2019-07-17","2148000","","","","9.99",""
"2019-07-18","2797000","","","","9.99",""
"2019-07-19","2150000","","","","9.99",""
"2019-07-20","2804000","","","","9.99",""
"2019-07-21","2160000","","","#2B6A94","9.99",""
"2019-07-22","2805000","","","","9.99",""
"2019-07-23","2149000","","","","9.99",""
"2019-07-24","2798000","","","","9.99",""
"2019-07-25","2797000","","","","9.99",""
"2019-07-26","2791000","","","","9.99",""
"2019-07-27","2151000","","","","9.99",""
"2019-07-28","2802000","","","#2B6A94","9.99",""
"2019-07-29","2803000","","","","9.99",""
"2019-07-30","2155000","","","","9.99",""
"2019-07-31","2153000","","","","9.99",""
"2019-08-01","2151000","","","","9.99",""
"2019-08-02","2800000","","","","9.99",""
"2019-08-03","2806000","","","","9.99",""
"2019-08-04","2163000","","","#2B6A94","9.99",""
"2019-08-05","2160000","","","","9.99",""
"2019-08-06","2158000","","","","9.99",""
"2019-08-07","2156000","","","","9.99",""
"2019-08-08","2802000","","","","9.99",""
"2019-08-09","2802000","","","","9.99",""
"2019-08-10","2161000","","","","9.99",""
"2019-08-11","2166000","","","#2B6A94","9.99",""
"2019-08-12","2156000","","","","9.99",""
"2019-08-13","2801000","","","","9.99",""
"2019-08-14","2801000","","","","9.99",""
"2019-08-15","2799000","","","","9.99",""
"2019-08-16","2799000","","","","9.99",""
"2019-08-17","2806000","","","","9.99",""
"2019-08-18","2166000","","","#2B6A94","9.99",""
"2019-08-19","2161000","","","","9.99",""
"2019-08-20","2161000","","","","9.99",""
"2019-08-21","2802000","","","","9.99",""
"2019-08-22","2799000","","","","9.99",""
"2019-08-23","2159000","","","","9.99",""
"2019-08-24","2159000","","","","9.99",""
"2019-08-25","2159000","","","#2B6A94","9.99",""
"2019-08-26","2159000","","","","9.99",""
"2019-08-27","2159000","","","","9.99",""
"2019-08-28","2160000","","","","9.99",""
"2019-08-29","2796000","","","","9.99",""
"2019-08-30","2160000","","","","9.99",""
"2019-08-31","2801000","","","","9.99",""
"2019-09-01","2808000","","","#2B6A94","9.99",""
"2019-09-02","2807000","","","","9.99",""
"2019-09-03","2802000","","","","9.99",""
"2019-09-04","234000","","","","9.99",""
"2019-09-05","2164000","","","","9.99",""
"2019-09-06","2799000","","","","9.99",""
"2019-09-07","2808000","","","","9.99",""
"2019-09-08","2169000","","","#2B6A94","9.99",""
"2019-09-09","2167000","","","","9.99",""
"2019-09-10","2173000","","","","3.49",""
"2019-09-11","2176000","","","","3.49",""
"2019-09-12","2822000","","","","3.49",""
"2019-09-13","2824000","","","","3.49",""
"2019-09-14","2191000","","","","3.49",""
"2019-09-15","2846000","","","#2B6A94","3.49",""
"2019-09-16","2828000","","","","3.49",""
"2019-09-17","2823000","","","","9.99",""
"2019-09-18","2169000","","","","9.99",""
"2019-09-19","2169000","","","","9.99",""
"2019-09-20","2826000","","","","9.99",""
"2019-09-21","2836000","","","","9.99",""
"2019-09-22","2829000","","","#2B6A94","9.99",""
"2019-09-23","2164000","","","","9.99",""
"2019-09-24","2164000","","","","9.99",""
"2019-09-25","2164000","","","","9.99",""
"2019-09-26","2162000","","","","9.99",""
"2019-09-27","2816000","","","","9.99",""
"2019-09-28","2816000","","","","9.99",""
"2019-09-29","2816000","","","#2B6A94","9.99",""
"2019-09-30","2822000","","","","9.99",""
"2019-10-01","2167000","","","","9.99",""
"2019-10-02","2167000","","","","9.99",""
"2019-10-03","2167000","","","","9.99",""
"2019-10-04","2166000","","","","9.99",""
"2019-10-05","2823000","","","","9.99",""
"2019-10-06","2174000","","","#2B6A94","9.99",""
"2019-10-07","2169000","","","","9.99",""
"2019-10-08","2169000","","","","9.99",""
"2019-10-09","2170000","","","","9.99",""
"2019-10-10","2815000","","","","9.99",""
"2019-10-11","2814000","","","","9.99",""
"2019-10-12","2823000","","","","9.99",""
"2019-10-13","2830000","","","#2B6A94","9.99",""
"2019-10-14","2818000","","","","9.99",""
"2019-10-15","2171000","","","","9.99",""
"2019-10-16","2170000","","","","9.99",""
"2019-10-17","2814000","","","","9.99",""
"2019-10-18","2811000","","","","9.99",""
"2019-10-19","2823000","","","","9.99",""
"2019-10-20","2178000","","","#2B6A94","9.99",""
"2019-10-21","2176000","","","","9.99",""
"2019-10-22","2816000","","","","9.99",""
"2019-10-23","2815000","","","","9.99",""
"2019-10-24","2814000","","","","9.99",""
"2019-10-25","648000","","","","9.99",""
"2019-10-26","2183000","","","","9.99",""
"2019-10-27","2185000","","","#2B6A94","9.99",""
"2019-10-28","2816000","","","","9.99",""
"2019-10-29","2816000","","","","9.99",""
"2019-10-30","2813000","","","","9.99",""
"2019-10-31","2812000","","","","9.99",""
"2019-11-01","2818000","","","","9.99",""
"2019-11-02","1907000","","","","9.99",""
"2019-11-03","2827000","","","#2B6A94","9.99",""
"2019-11-04","2827000","","","","9.99",""
"2019-11-05","2827000","","","","3.49",""
"2019-11-06","2830000","","","","3.49",""
"2019-11-07","2165000","","","","3.49",""
"2019-11-08","2160000","","","","3.49",""
"2019-11-09","2842000","","","","3.49",""
"2019-11-10","2838000","","","#2B6A94","3.49",""
"2019-11-11","2828000","","","","3.49",""
"2019-11-12","2819000","","","","9.99",""
"2019-11-13","2129000","","","","9.99",""
"2019-11-14","2124000","","","","9.99",""
"2019-11-15","2811000","","","","9.99",""
"2019-11-16","2824000","","","","9.99",""
"2019-11-17","2128000","","","#2B6A94","9.99",""
"2019-11-18","2815000","","","","9.99",""
"2019-11-19","2804000","","","","9.99",""
"2019-11-20","2799000","","","","9.99",""
"2019-11-21","2806000","","","","9.99",""
"2019-11-22","2112000","","","","9.99",""
"2019-11-23","2116000","","","","9.99",""
"2019-11-24","2116000","","","#2B6A94","9.99",""
"2019-11-25","2106000","","","","9.99",""
"2019-11-26","2106000","","","","9.99",""
"2019-11-27","2784000","","","","3.49",""
"2019-11-28","2085000","","","","3.49",""
"2019-11-29","2084000","","","","3.49",""
"2019-11-30","2082000","","","","3.49",""
"2019-12-01","1955000","","","#2B6A94","3.49",""
"2019-12-02","1941000","","","","3.49",""
"2019-12-03","2776000","","","","3.49",""
"2019-12-04","2057000","","","","9.99",""
"2019-12-05","2770000","","","","9.99",""
"2019-12-06","2055000","","","","9.99",""
"2019-12-07","2057000","","","","9.99",""
"2019-12-08","2057000","","","#2B6A94","9.99",""
"2019-12-09","2049000","","","","9.99",""
"2019-12-10","2049000","","","","9.99",""
"2019-12-11","2047000","","","","9.99",""
"2019-12-12","2047000","","","","9.99",""
"2019-12-13","2034000","","","","9.99",""
"2019-12-14","2760000","","","","9.99",""
"2019-12-15","2044000","","","#2B6A94","9.99",""
"2019-12-16","2736000","","","","9.99",""
