"date","Owners","event","link","color","Price","val3"
"2019-05-26","13093000","","","#2B6A94","0",""
"2019-05-27","13093000","","","","0",""
"2019-05-28","13093000","","","","0",""
"2019-05-29","14041000","","","","9.99",""
"2019-05-30","14039000","","","","9.99",""
"2019-05-31","14037000","","","","9.99",""
"2019-06-01","14061000","","","","9.99",""
"2019-06-02","14072000","","","#2B6A94","9.99",""
"2019-06-03","14033000","","","","9.99",""
"2019-06-04","14032000","","","","9.99",""
"2019-06-05","14036000","","","","9.99",""
"2019-06-06","14040000","","","","9.99",""
"2019-06-07","14062000","","","","9.99",""
"2019-06-08","2459000","","","","9.99",""
"2019-06-09","14101000","","","#2B6A94","9.99",""
"2019-06-10","14072000","","","","9.99",""
"2019-06-11","14072000","","","","9.99",""
"2019-06-12","14075000","","","","9.99",""
"2019-06-13","14088000","","","","9.99",""
"2019-06-14","14095000","","","","9.99",""
"2019-06-15","14110000","","","","9.99",""
"2019-06-16","14115000","","","#2B6A94","9.99",""
"2019-06-17","14102000","","","","9.99",""
"2019-06-18","14098000","","","","9.99",""
"2019-06-19","14098000","","","","9.99",""
"2019-06-20","14110000","","","","9.99",""
"2019-06-21","14111000","","","","9.99",""
"2019-06-22","14129000","","","","9.99",""
"2019-06-23","14153000","","","#2B6A94","9.99",""
"2019-06-24","14153000","","","","9.99",""
"2019-06-25","14137000","","","","9.99",""
"2019-06-26","14226000","","","","0.99",""
"2019-06-27","14249000","","","","0.99",""
"2019-06-28","14254000","","","","0.99",""
"2019-06-29","14272000","","","","0.99",""
"2019-06-30","14195000","","","#2B6A94","0.99",""
"2019-07-01","14152000","","","","0.99",""
"2019-07-02","14121000","","","","0.99",""
"2019-07-03","14121000","","","","0.99",""
"2019-07-04","14091000","","","","0.99",""
"2019-07-05","14081000","","","","0.99",""
"2019-07-06","14079000","","","","0.99",""
"2019-07-07","14080000","","","#2B6A94","0.99",""
"2019-07-08","14063000","","","","0.99",""
"2019-07-09","14066000","","","","9.99",""
"2019-07-10","14042000","","","","9.99",""
"2019-07-11","14018000","","","","9.99",""
"2019-07-12","13993000","","","","9.99",""
"2019-07-13","14012000","","","","9.99",""
"2019-07-14","14009000","","","#2B6A94","9.99",""
"2019-07-15","13986000","","","","9.99",""
"2019-07-16","13976000","","","","9.99",""
"2019-07-17","13991000","","","","9.99",""
"2019-07-18","13969000","","","","9.99",""
"2019-07-19","13957000","","","","9.99",""
"2019-07-20","13973000","","","","9.99",""
"2019-07-21","14008000","","","#2B6A94","9.99",""
"2019-07-22","13961000","","","","9.99",""
"2019-07-23","13961000","","","","9.99",""
"2019-07-24","13948000","","","","9.99",""
"2019-07-25","13942000","","","","9.99",""
"2019-07-26","13926000","","","","9.99",""
"2019-07-27","13962000","","","","9.99",""
"2019-07-28","13974000","","","#2B6A94","9.99",""
"2019-07-29","13933000","","","","9.99",""
"2019-07-30","13926000","","","","9.99",""
"2019-07-31","13933000","","","","9.99",""
"2019-08-01","13916000","","","","9.99",""
"2019-08-02","13917000","","","","9.99",""
"2019-08-03","13939000","","","","9.99",""
"2019-08-04","13969000","","","#2B6A94","9.99",""
"2019-08-05","13932000","","","","9.99",""
"2019-08-06","13933000","","","","9.99",""
"2019-08-07","13943000","","","","9.99",""
"2019-08-08","13923000","","","","9.99",""
"2019-08-09","13921000","","","","9.99",""
"2019-08-10","13952000","","","","9.99",""
"2019-08-11","13969000","","","#2B6A94","9.99",""
"2019-08-12","13924000","","","","9.99",""
"2019-08-13","13926000","","","","9.99",""
"2019-08-14","13897000","","","","9.99",""
"2019-08-15","13897000","","","","9.99",""
"2019-08-16","13908000","","","","9.99",""
"2019-08-17","13942000","","","","9.99",""
"2019-08-18","13966000","","","#2B6A94","9.99",""
"2019-08-19","13913000","","","","9.99",""
"2019-08-20","13915000","","","","9.99",""
"2019-08-21","13905000","","","","9.99",""
"2019-08-22","13898000","","","","9.99",""
"2019-08-23","13901000","","","","9.99",""
"2019-08-24","13901000","","","","9.99",""
"2019-08-25","13901000","","","#2B6A94","9.99",""
"2019-08-26","13901000","","","","9.99",""
"2019-08-27","13917000","","","","9.99",""
"2019-08-28","13906000","","","","9.99",""
"2019-08-29","13911000","","","","9.99",""
"2019-08-30","13918000","","","","9.99",""
"2019-08-31","13953000","","","","9.99",""
"2019-09-01","13965000","","","#2B6A94","9.99",""
"2019-09-02","13951000","","","","9.99",""
"2019-09-03","13906000","","","","9.99",""
"2019-09-04","13906000","","","","9.99",""
"2019-09-05","13888000","","","","9.99",""
"2019-09-06","13900000","","","","9.99",""
"2019-09-07","13957000","","","","9.99",""
"2019-09-08","13981000","","","#2B6A94","9.99",""
"2019-09-09","13893000","","","","9.99",""
"2019-09-10","13886000","","","","9.99",""
"2019-09-11","13886000","","","","9.99",""
"2019-09-12","13882000","","","","9.99",""
"2019-09-13","13896000","","","","9.99",""
"2019-09-14","13945000","","","","9.99",""
"2019-09-15","13968000","","","#2B6A94","9.99",""
"2019-09-16","13916000","","","","9.99",""
"2019-09-17","13904000","","","","9.99",""
"2019-09-18","13895000","","","","9.99",""
"2019-09-19","13894000","","","","9.99",""
"2019-09-20","13907000","","","","9.99",""
"2019-09-21","13958000","","","","9.99",""
"2019-09-22","13958000","","","#2B6A94","9.99",""
"2019-09-23","13905000","","","","9.99",""
"2019-09-24","13911000","","","","9.99",""
"2019-09-25","13917000","","","","9.99",""
"2019-09-26","13915000","","","","9.99",""
