"date","Owners","event","link","color","Price","val3"
"2019-05-26","9122000","","","#2B6A94","0",""
"2019-05-27","9122000","","","","0",""
"2019-05-28","9122000","","","","0",""
"2019-05-29","10095000","","","","9.99",""
"2019-05-30","10103000","","","","9.99",""
"2019-05-31","10103000","","","","9.99",""
"2019-06-01","10114000","","","","9.99",""
"2019-06-02","10138000","","","#2B6A94","9.99",""
"2019-06-03","10116000","","","","9.99",""
"2019-06-04","10121000","","","","9.99",""
"2019-06-05","10122000","","","","9.99",""
"2019-06-06","10130000","","","","9.99",""
"2019-06-07","10130000","","","","9.99",""
"2019-06-08","10149000","","","","9.99",""
"2019-06-09","10163000","","","#2B6A94","9.99",""
"2019-06-10","10163000","","","","9.99",""
"2019-06-11","10134000","","","","9.99",""
"2019-06-12","10138000","","","","9.99",""
"2019-06-13","10138000","","","","9.99",""
"2019-06-14","10141000","","","","9.99",""
"2019-06-15","10166000","","","","9.99",""
"2019-06-16","10158000","","","#2B6A94","9.99",""
"2019-06-17","10163000","","","","9.99",""
"2019-06-18","10155000","","","","9.99",""
"2019-06-19","10159000","","","","9.99",""
"2019-06-20","10180000","","","","9.99",""
"2019-06-21","10166000","","","","9.99",""
"2019-06-22","10182000","","","","9.99",""
"2019-06-23","10186000","","","#2B6A94","9.99",""
"2019-06-24","10171000","","","","9.99",""
"2019-06-25","10259000","","","","9.99",""
"2019-06-26","10411000","","","","0.99",""
"2019-06-27","10432000","","","","0.99",""
"2019-06-28","10495000","","","","0.99",""
"2019-06-29","10530000","","","","0.99",""
"2019-06-30","10574000","","","#2B6A94","0.99",""
"2019-07-01","10529000","","","","0.99",""
"2019-07-02","10480000","","","","0.99",""
"2019-07-03","10451000","","","","0.99",""
"2019-07-04","10452000","","","","0.99",""
"2019-07-05","10416000","","","","0.99",""
"2019-07-06","10436000","","","","0.99",""
"2019-07-07","10444000","","","#2B6A94","0.99",""
"2019-07-08","10435000","","","","0.99",""
"2019-07-09","10436000","","","","9.99",""
"2019-07-10","10279000","","","","9.99",""
"2019-07-11","10271000","","","","9.99",""
"2019-07-12","10267000","","","","9.99",""
"2019-07-13","10271000","","","","9.99",""
"2019-07-14","10281000","","","#2B6A94","9.99",""
"2019-07-15","10267000","","","","9.99",""
"2019-07-16","10267000","","","","9.99",""
"2019-07-17","10268000","","","","9.99",""
"2019-07-18","10270000","","","","9.99",""
"2019-07-19","10268000","","","","9.99",""
"2019-07-20","10268000","","","","9.99",""
"2019-07-21","10273000","","","#2B6A94","9.99",""
"2019-07-22","10268000","","","","9.99",""
"2019-07-23","10273000","","","","9.99",""
