"date","Owners","event","link","color","Price","val3"
"2019-05-26","1965000","","","#2B6A94","0",""
"2019-05-27","1965000","","","","0",""
"2019-05-28","1965000","","","","0",""
"2019-05-29","2005000","","","","19.99",""
"2019-05-30","2006000","","","","19.99",""
"2019-05-31","2006000","","","","19.99",""
"2019-06-01","2009000","","","","19.99",""
"2019-06-02","2014000","","","#2B6A94","19.99",""
"2019-06-03","2011000","","","","19.99",""
"2019-06-04","2008000","","","","19.99",""
"2019-06-05","2007000","","","","19.99",""
"2019-06-06","2006000","","","","19.99",""
"2019-06-07","2006000","","","","19.99",""
"2019-06-08","2009000","","","","19.99",""
"2019-06-09","2011000","","","#2B6A94","19.99",""
"2019-06-10","2008000","","","","19.99",""
"2019-06-11","2007000","","","","19.99",""
"2019-06-12","2006000","","","","19.99",""
"2019-06-13","2007000","","","","19.99",""
"2019-06-14","2006000","","","","19.99",""
"2019-06-15","2008000","","","","19.99",""
"2019-06-16","2009000","","","#2B6A94","19.99",""
"2019-06-17","2006000","","","","19.99",""
"2019-06-18","2007000","","","","19.99",""
"2019-06-19","2007000","","","","19.99",""
"2019-06-20","2007000","","","","19.99",""
"2019-06-21","2006000","","","","19.99",""
"2019-06-22","2012000","","","","19.99",""
"2019-06-23","2016000","","","#2B6A94","19.99",""
"2019-06-24","2014000","","","","19.99",""
"2019-06-25","2012000","","","","19.99",""
"2019-06-26","2014000","","","","4.99",""
"2019-06-27","2014000","","","","4.99",""
"2019-06-28","2013000","","","","4.99",""
"2019-06-29","2021000","","","","4.99",""
"2019-06-30","2023000","","","#2B6A94","4.99",""
"2019-07-01","2018000","","","","4.99",""
"2019-07-02","2015000","","","","4.99",""
"2019-07-03","2018000","","","","4.99",""
"2019-07-04","2017000","","","","4.99",""
"2019-07-05","2017000","","","","4.99",""
"2019-07-06","2021000","","","","4.99",""
"2019-07-07","2021000","","","#2B6A94","4.99",""
"2019-07-08","2017000","","","","4.99",""
"2019-07-09","2016000","","","","4.99",""
"2019-07-10","2017000","","","","19.99",""
"2019-07-11","2016000","","","","19.99",""
"2019-07-12","2014000","","","","19.99",""
"2019-07-13","2015000","","","","19.99",""
"2019-07-14","2021000","","","#2B6A94","19.99",""
"2019-07-15","2017000","","","","19.99",""
"2019-07-16","2015000","","","","19.99",""
"2019-07-17","2015000","","","","19.99",""
"2019-07-18","2015000","","","","19.99",""
"2019-07-19","2020000","","","","4.99",""
"2019-07-20","2025000","","","","4.99",""
"2019-07-21","2026000","","","#2B6A94","4.99",""
"2019-07-22","2026000","","","","4.99",""
"2019-07-23","2026000","","","","19.99",""
"2019-07-24","2029000","","","","19.99",""
"2019-07-25","2027000","","","","19.99",""
"2019-07-26","2028000","","","","19.99",""
"2019-07-27","2029000","","","","19.99",""
"2019-07-28","2029000","","","#2B6A94","19.99",""
"2019-07-29","2033000","","","","19.99",""
"2019-07-30","2032000","","","","19.99",""
