date;Owners;event;link;color;Price;val3;game
26.05.2019;4628000;;;#2B6A94;0;;Portal 2 
27.05.2019;4628000;;;;0;;Portal 2 
28.05.2019;4628000;;;;0;;Portal 2 
29.05.2019;4753000;;;;29.99;;Portal 2 
30.05.2019;4755000;;;;29.99;;Portal 2 
31.05.2019;4755000;;;;29.99;;Portal 2 
01.06.2019;4763000;;;;29.99;;Portal 2 
02.06.2019;4769000;;;#2B6A94;29.99;;Portal 2 
03.06.2019;4761000;;;;29.99;;Portal 2 
04.06.2019;4775000;;;;7.49;;Portal 2 
05.06.2019;4780000;;;;7.49;;Portal 2 
06.06.2019;4783000;;;;7.49;;Portal 2 
07.06.2019;4785000;;;;7.49;;Portal 2 
08.06.2019;4795000;;;;7.49;;Portal 2 
09.06.2019;4794000;;;#2B6A94;7.49;;Portal 2 
10.06.2019;4786000;;;;7.49;;Portal 2 
11.06.2019;4784000;;;;29.99;;Portal 2 
12.06.2019;4781000;;;;29.99;;Portal 2 
13.06.2019;4779000;;;;29.99;;Portal 2 
14.06.2019;4781000;;;;29.99;;Portal 2 
15.06.2019;4787000;;;;29.99;;Portal 2 
16.06.2019;4789000;;;#2B6A94;29.99;;Portal 2 
17.06.2019;4785000;;;;29.99;;Portal 2 
18.06.2019;4778000;;;;29.99;;Portal 2 
19.06.2019;4775000;;;;29.99;;Portal 2 
20.06.2019;4780000;;;;29.99;;Portal 2 
21.06.2019;4779000;;;;29.99;;Portal 2 
22.06.2019;4791000;;;;29.99;;Portal 2 
23.06.2019;4792000;;;#2B6A94;29.99;;Portal 2 
24.06.2019;4780000;;;;29.99;;Portal 2 
25.06.2019;4780000;;;;29.99;;Portal 2 
26.06.2019;4786000;;;;7.49;;Portal 2 
27.06.2019;4794000;;;;7.49;;Portal 2 
28.06.2019;4798000;;;;7.49;;Portal 2 
29.06.2019;4806000;;;;7.49;;Portal 2 
30.06.2019;4806000;;;#2B6A94;7.49;;Portal 2 
01.07.2019;4799000;;;;7.49;;Portal 2 
02.07.2019;4800000;;;;7.49;;Portal 2 
03.07.2019;4798000;;;;7.49;;Portal 2 
04.07.2019;4797000;;;;7.49;;Portal 2 
05.07.2019;4799000;;;;7.49;;Portal 2 
06.07.2019;4804000;;;;7.49;;Portal 2 
07.07.2019;4808000;;;#2B6A94;7.49;;Portal 2 
08.07.2019;4800000;;;;7.49;;Portal 2 
09.07.2019;4803000;;;;7.49;;Portal 2 
10.07.2019;4799000;;;;29.99;;Portal 2 
11.07.2019;4799000;;;;29.99;;Portal 2 
12.07.2019;4796000;;;;29.99;;Portal 2 
13.07.2019;4802000;;;;29.99;;Portal 2 
14.07.2019;4805000;;;#2B6A94;29.99;;Portal 2 
15.07.2019;4799000;;;;29.99;;Portal 2 
16.07.2019;4793000;;;;29.99;;Portal 2 
17.07.2019;4795000;;;;29.99;;Portal 2 
18.07.2019;4792000;;;;29.99;;Portal 2 
19.07.2019;4794000;;;;29.99;;Portal 2 
20.07.2019;4804000;;;;29.99;;Portal 2 
21.07.2019;4811000;;;#2B6A94;29.99;;Portal 2 
22.07.2019;4800000;;;;29.99;;Portal 2 
23.07.2019;4791000;;;;29.99;;Portal 2 
24.07.2019;4792000;;;;29.99;;Portal 2 
25.07.2019;4794000;;;;29.99;;Portal 2 
26.07.2019;4791000;;;;29.99;;Portal 2 
27.07.2019;4800000;;;;29.99;;Portal 2 
28.07.2019;4807000;;;#2B6A94;29.99;;Portal 2 
29.07.2019;4797000;;;;29.99;;Portal 2 
30.07.2019;4794000;;;;29.99;;Portal 2 
31.07.2019;4793000;;;;29.99;;Portal 2 
01.08.2019;4792000;;;;29.99;;Portal 2 
02.08.2019;4793000;;;;29.99;;Portal 2 
03.08.2019;4803000;;;;29.99;;Portal 2 
04.08.2019;4810000;;;#2B6A94;29.99;;Portal 2 
05.08.2019;4802000;;;;29.99;;Portal 2 
06.08.2019;4797000;;;;29.99;;Portal 2 
07.08.2019;4798000;;;;29.99;;Portal 2 
08.08.2019;4797000;;;;29.99;;Portal 2 
09.08.2019;4797000;;;;29.99;;Portal 2 
10.08.2019;4806000;;;;29.99;;Portal 2 
11.08.2019;4812000;;;#2B6A94;29.99;;Portal 2 
12.08.2019;4805000;;;;29.99;;Portal 2 
13.08.2019;4799000;;;;29.99;;Portal 2 
14.08.2019;4795000;;;;29.99;;Portal 2 
15.08.2019;4800000;;;;29.99;;Portal 2 
16.08.2019;4801000;;;;29.99;;Portal 2 
17.08.2019;4809000;;;;29.99;;Portal 2 
18.08.2019;4818000;;;#2B6A94;29.99;;Portal 2 
19.08.2019;4802000;;;;29.99;;Portal 2 
20.08.2019;4799000;;;;29.99;;Portal 2 
21.08.2019;4801000;;;;29.99;;Portal 2 
22.08.2019;4800000;;;;29.99;;Portal 2 
23.08.2019;4800000;;;;29.99;;Portal 2 
24.08.2019;4800000;;;;29.99;;Portal 2 
25.08.2019;4800000;;;#2B6A94;29.99;;Portal 2 
26.08.2019;4800000;;;;29.99;;Portal 2 
27.08.2019;4801000;;;;29.99;;Portal 2 
28.08.2019;4802000;;;;29.99;;Portal 2 
29.08.2019;4799000;;;;29.99;;Portal 2 
30.08.2019;4799000;;;;29.99;;Portal 2 
31.08.2019;4810000;;;;29.99;;Portal 2 
01.09.2019;4814000;;;#2B6A94;29.99;;Portal 2 
02.09.2019;4810000;;;;29.99;;Portal 2 
03.09.2019;4813000;;;;7.49;;Portal 2 
04.09.2019;4826000;;;;7.49;;Portal 2 
05.09.2019;4829000;;;;7.49;;Portal 2 
06.09.2019;4830000;;;;7.49;;Portal 2 
07.09.2019;4842000;;;;7.49;;Portal 2 
08.09.2019;4844000;;;#2B6A94;7.49;;Portal 2 
09.09.2019;4831000;;;;7.49;;Portal 2 
10.09.2019;4830000;;;;7.49;;Portal 2 
11.09.2019;4836000;;;;7.49;;Portal 2 
12.09.2019;4840000;;;;7.49;;Portal 2 
13.09.2019;4840000;;;;7.49;;Portal 2 
14.09.2019;2220000;;;;7.49;;Portal 2 
15.09.2019;4853000;;;#2B6A94;7.49;;Portal 2 
16.09.2019;4839000;;;;7.49;;Portal 2 
17.09.2019;4833000;;;;29.99;;Portal 2 
18.09.2019;2195000;;;;29.99;;Portal 2 
19.09.2019;4830000;;;;29.99;;Portal 2 
20.09.2019;4831000;;;;29.99;;Portal 2 
21.09.2019;4842000;;;;29.99;;Portal 2 
22.09.2019;4848000;;;#2B6A94;29.99;;Portal 2 
23.09.2019;4848000;;;;29.99;;Portal 2 
24.09.2019;4825000;;;;29.99;;Portal 2 
25.09.2019;4826000;;;;29.99;;Portal 2 
26.09.2019;4828000;;;;29.99;;Portal 2 
27.09.2019;4831000;;;;29.99;;Portal 2 
28.09.2019;4847000;;;;29.99;;Portal 2 
29.09.2019;4850000;;;#2B6A94;29.99;;Portal 2 
30.09.2019;4837000;;;;29.99;;Portal 2 
01.10.2019;4834000;;;;29.99;;Portal 2 
02.10.2019;4828000;;;;29.99;;Portal 2 
03.10.2019;4829000;;;;29.99;;Portal 2 
04.10.2019;4840000;;;;7.49;;Portal 2 
05.10.2019;4865000;;;;7.49;;Portal 2 
06.10.2019;4868000;;;#2B6A94;7.49;;Portal 2 
07.10.2019;4849000;;;;7.49;;Portal 2 
08.10.2019;4849000;;;;29.99;;Portal 2 
09.10.2019;4842000;;;;29.99;;Portal 2 
10.10.2019;4839000;;;;29.99;;Portal 2 
11.10.2019;4841000;;;;29.99;;Portal 2 
12.10.2019;4856000;;;;29.99;;Portal 2 
13.10.2019;4857000;;;#2B6A94;29.99;;Portal 2 
14.10.2019;4842000;;;;29.99;;Portal 2 
15.10.2019;4833000;;;;29.99;;Portal 2 
16.10.2019;4833000;;;;29.99;;Portal 2 
17.10.2019;4836000;;;;29.99;;Portal 2 
18.10.2019;4838000;;;;29.99;;Portal 2 
19.10.2019;4850000;;;;29.99;;Portal 2 
20.10.2019;4854000;;;#2B6A94;29.99;;Portal 2 
21.10.2019;4843000;;;;29.99;;Portal 2 
22.10.2019;4842000;;;;29.99;;Portal 2 
23.10.2019;4839000;;;;29.99;;Portal 2 
24.10.2019;4839000;;;;29.99;;Portal 2 
25.10.2019;4839000;;;;29.99;;Portal 2 
26.10.2019;4854000;;;;29.99;;Portal 2 
27.10.2019;4857000;;;#2B6A94;29.99;;Portal 2 
28.10.2019;4843000;;;;7.49;;Portal 2 
29.10.2019;4843000;;;;7.49;;Portal 2 
30.10.2019;4845000;;;;7.49;;Portal 2 
31.10.2019;4852000;;;;7.49;;Portal 2 
01.11.2019;4852000;;;;29.99;;Portal 2 
02.11.2019;4878000;;;;29.99;;Portal 2 
03.11.2019;4880000;;;#2B6A94;29.99;;Portal 2 
04.11.2019;4862000;;;;29.99;;Portal 2 
05.11.2019;4862000;;;;29.99;;Portal 2 
06.11.2019;4860000;;;;7.49;;Portal 2 
07.11.2019;4871000;;;;7.49;;Portal 2 
08.11.2019;4879000;;;;7.49;;Portal 2 
09.11.2019;4888000;;;;7.49;;Portal 2 
10.11.2019;4885000;;;#2B6A94;7.49;;Portal 2 
11.11.2019;4875000;;;;7.49;;Portal 2 
12.11.2019;4865000;;;;7.49;;Portal 2 
13.11.2019;4865000;;;;7.49;;Portal 2 
14.11.2019;4864000;;;;7.49;;Portal 2 
15.11.2019;2229000;;;;7.49;;Portal 2 
16.11.2019;4891000;;;;7.49;;Portal 2 
17.11.2019;4893000;;;#2B6A94;7.49;;Portal 2 
18.11.2019;4878000;;;;7.49;;Portal 2 
19.11.2019;4878000;;;;7.49;;Portal 2 
20.11.2019;4875000;;;;29.99;;Portal 2 
21.11.2019;4875000;;;;29.99;;Portal 2 
22.11.2019;4875000;;;;29.99;;Portal 2 
23.11.2019;4890000;;;;29.99;;Portal 2 
