"date","Owners","event","link","color","Price","val3"
"2019-05-26","524000","","","#2B6A94","0",""
"2019-05-27","524000","","","","0",""
"2019-05-28","524000","","","","0",""
"2019-05-29","562000","","","","4.99",""
"2019-05-30","565000","","","","4.99",""
"2019-05-31","535000","","","","4.99",""
"2019-06-01","563000","","","","4.99",""
"2019-06-02","570000","","","#2B6A94","4.99",""
"2019-06-03","535000","","","","4.99",""
"2019-06-04","564000","","","","4.99",""
"2019-06-05","535000","","","","4.99",""
"2019-06-06","563000","","","","4.99",""
"2019-06-07","537000","","","","4.99",""
"2019-06-08","537000","","","","4.99",""
"2019-06-09","536000","","","#2B6A94","4.99",""
"2019-06-10","633000","","","","4.99",""
"2019-06-11","566000","","","","4.99",""
"2019-06-12","564000","","","","4.99",""
"2019-06-13","567000","","","","4.99",""
"2019-06-14","565000","","","","4.99",""
"2019-06-15","538000","","","","4.99",""
"2019-06-16","567000","","","#2B6A94","4.99",""
"2019-06-17","564000","","","","4.99",""
"2019-06-18","539000","","","","4.99",""
"2019-06-19","536000","","","","4.99",""
"2019-06-20","564000","","","","4.99",""
"2019-06-21","565000","","","","4.99",""
"2019-06-22","564000","","","","4.99",""
"2019-06-23","538000","","","#2B6A94","4.99",""
"2019-06-24","537000","","","","4.99",""
"2019-06-25","447000","","","","4.99",""
"2019-06-26","567000","","","","2.49",""
"2019-06-27","538000","","","","2.49",""
"2019-06-28","567000","","","","2.49",""
"2019-06-29","568000","","","","2.49",""
"2019-06-30","542000","","","#2B6A94","2.49",""
"2019-07-01","542000","","","","2.49",""
"2019-07-02","573000","","","","2.49",""
"2019-07-03","541000","","","","2.49",""
"2019-07-04","544000","","","","2.49",""
"2019-07-05","573000","","","","2.49",""
"2019-07-06","545000","","","","2.49",""
"2019-07-07","574000","","","#2B6A94","2.49",""
"2019-07-08","574000","","","","2.49",""
"2019-07-09","574000","","","","4.99",""
"2019-07-10","544000","","","","4.99",""
"2019-07-11","572000","","","","4.99",""
"2019-07-12","543000","","","","4.99",""
"2019-07-13","574000","","","","4.99",""
"2019-07-14","547000","","","#2B6A94","4.99",""
"2019-07-15","572000","","","","4.99",""
"2019-07-16","572000","","","","4.99",""
"2019-07-17","570000","","","","4.99",""
"2019-07-18","568000","","","","4.99",""
"2019-07-19","571000","","","","4.99",""
"2019-07-20","573000","","","","4.99",""
"2019-07-21","547000","","","#2B6A94","4.99",""
"2019-07-22","543000","","","","4.99",""
"2019-07-23","547000","","","","4.99",""
"2019-07-24","582000","","","","1.64",""
"2019-07-25","583000","","","","1.64",""
"2019-07-26","554000","","","","1.64",""
"2019-07-27","555000","","","","1.64",""
"2019-07-28","586000","","","#2B6A94","1.64",""
"2019-07-29","586000","","","","1.64",""
"2019-07-30","584000","","","","1.64",""
"2019-07-31","552000","","","","4.99",""
"2019-08-01","549000","","","","4.99",""
"2019-08-02","577000","","","","4.99",""
"2019-08-03","577000","","","","4.99",""
"2019-08-04","577000","","","#2B6A94","4.99",""
"2019-08-05","577000","","","","4.99",""
"2019-08-06","548000","","","","4.99",""
"2019-08-07","548000","","","","4.99",""
"2019-08-08","575000","","","","4.99",""
"2019-08-09","575000","","","","4.99",""
"2019-08-10","578000","","","","4.99",""
"2019-08-11","575000","","","#2B6A94","4.99",""
"2019-08-12","574000","","","","4.99",""
"2019-08-13","641000","","","","4.99",""
"2019-08-14","573000","","","","4.99",""
"2019-08-15","575000","","","","4.99",""
"2019-08-16","574000","","","","4.99",""
"2019-08-17","578000","","","","4.99",""
"2019-08-18","551000","","","#2B6A94","4.99",""
"2019-08-19","548000","","","","4.99",""
"2019-08-20","549000","","","","4.99",""
"2019-08-21","575000","","","","4.99",""
"2019-08-22","576000","","","","4.99",""
"2019-08-23","548000","","","","4.99",""
"2019-08-24","548000","","","","4.99",""
"2019-08-25","548000","","","#2B6A94","4.99",""
"2019-08-26","548000","","","","4.99",""
"2019-08-27","549000","","","","4.99",""
"2019-08-28","547000","","","","4.99",""
"2019-08-29","574000","","","","4.99",""
"2019-08-30","550000","","","","4.99",""
"2019-08-31","579000","","","","4.99",""
"2019-09-01","579000","","","#2B6A94","4.99",""
"2019-09-02","576000","","","","4.99",""
"2019-09-03","575000","","","","4.99",""
"2019-09-04","549000","","","","4.99",""
"2019-09-05","574000","","","","4.99",""
"2019-09-06","575000","","","","4.99",""
"2019-09-07","550000","","","","4.99",""
