"date","Owners","event","link","color","Price","val3"
"2019-05-26","1506000","","","#2B6A94","0",""
"2019-05-27","1506000","","","","0",""
"2019-05-28","1506000","","","","0",""
"2019-05-29","1606000","","","","19.99",""
"2019-05-30","1608000","","","","19.99",""
"2019-05-31","1425000","","","","19.99",""
"2019-06-01","1610000","","","","19.99",""
"2019-06-02","1474000","","","#2B6A94","19.99",""
"2019-06-03","1613000","","","","19.99",""
"2019-06-04","1597000","","","","19.99",""
"2019-06-05","1600000","","","","19.99",""
"2019-06-06","1596000","","","","19.99",""
"2019-06-07","1608000","","","","19.99",""
"2019-06-08","1631000","","","","19.99",""
"2019-06-09","1488000","","","#2B6A94","19.99",""
"2019-06-10","1621000","","","","19.99",""
"2019-06-11","1615000","","","","19.99",""
"2019-06-12","1432000","","","","19.99",""
"2019-06-13","1607000","","","","19.99",""
"2019-06-14","1602000","","","","19.99",""
"2019-06-15","1631000","","","","19.99",""
"2019-06-16","1644000","","","#2B6A94","19.99",""
"2019-06-17","1453000","","","","19.99",""
"2019-06-18","1606000","","","","19.99",""
"2019-06-19","1606000","","","","19.99",""
"2019-06-20","1596000","","","","19.99",""
"2019-06-21","1608000","","","","19.99",""
"2019-06-22","1617000","","","","19.99",""
"2019-06-23","1465000","","","#2B6A94","19.99",""
"2019-06-24","1433000","","","","19.99",""
"2019-06-25","1601000","","","","19.99",""
"2019-06-26","1431000","","","","7.49",""
"2019-06-27","1594000","","","","19.99",""
"2019-06-28","1597000","","","","19.99",""
"2019-06-29","1466000","","","","7.49",""
"2019-06-30","1619000","","","#2B6A94","7.49",""
"2019-07-01","1582000","","","","19.99",""
"2019-07-02","1568000","","","","7.49",""
"2019-07-03","1568000","","","","7.49",""
"2019-07-04","1419000","","","","19.99",""
"2019-07-05","1575000","","","","19.99",""
"2019-07-06","1401000","","","","19.99",""
"2019-07-07","1593000","","","#2B6A94","19.99",""
"2019-07-08","1560000","","","","7.49",""
"2019-07-09","1392000","","","","7.49",""
"2019-07-10","1541000","","","","19.99",""
"2019-07-11","1374000","","","","19.99",""
"2019-07-12","1537000","","","","19.99",""
"2019-07-13","1570000","","","","19.99",""
"2019-07-14","1402000","","","#2B6A94","19.99",""
"2019-07-15","1547000","","","","19.99",""
"2019-07-16","1378000","","","","7.49",""
"2019-07-17","1375000","","","","19.99",""
"2019-07-18","1547000","","","","19.99",""
"2019-07-19","1549000","","","","7.49",""
"2019-07-20","1593000","","","","7.49",""
"2019-07-21","1440000","","","#2B6A94","7.49",""
"2019-07-22","1404000","","","","19.99",""
"2019-07-23","1546000","","","","19.99",""
"2019-07-24","1555000","","","","19.99",""
"2019-07-25","1382000","","","","7.49",""
"2019-07-26","1393000","","","","19.99",""
"2019-07-27","1427000","","","","19.99",""
"2019-07-28","1601000","","","#2B6A94","7.49",""
"2019-07-29","1579000","","","","19.99",""
"2019-07-30","1397000","","","","19.99",""
"2019-07-31","1563000","","","","19.99",""
"2019-08-01","1550000","","","","19.99",""
"2019-08-02","1549000","","","","19.99",""
"2019-08-03","1581000","","","","19.99",""
"2019-08-04","1423000","","","#2B6A94","19.99",""
"2019-08-05","1576000","","","","19.99",""
"2019-08-06","1390000","","","","19.99",""
"2019-08-07","1382000","","","","19.99",""
"2019-08-08","1548000","","","","19.99",""
"2019-08-09","1544000","","","","19.99",""
"2019-08-10","1410000","","","","19.99",""
"2019-08-11","1586000","","","#2B6A94","19.99",""
"2019-08-12","1393000","","","","19.99",""
"2019-08-13","1544000","","","","19.99",""
"2019-08-14","1523000","","","","19.99",""
"2019-08-15","1524000","","","","19.99",""
"2019-08-16","1547000","","","","19.99",""
"2019-08-17","1400000","","","","19.99",""
"2019-08-18","1419000","","","#2B6A94","19.99",""
"2019-08-19","1394000","","","","19.99",""
"2019-08-20","1378000","","","","19.99",""
"2019-08-21","1529000","","","","19.99",""
"2019-08-22","1502000","","","","19.99",""
"2019-08-23","1502000","","","","19.99",""
"2019-08-24","1502000","","","","19.99",""
"2019-08-25","1502000","","","#2B6A94","19.99",""
"2019-08-26","1502000","","","","19.99",""
"2019-08-27","1522000","","","","19.99",""
"2019-08-28","1364000","","","","19.99",""
"2019-08-29","1515000","","","","19.99",""
"2019-08-30","1523000","","","","19.99",""
"2019-08-31","1552000","","","","19.99",""
"2019-09-01","1416000","","","#2B6A94","19.99",""
"2019-09-02","1573000","","","","19.99",""
"2019-09-03","1550000","","","","19.99",""
"2019-09-04","1356000","","","","19.99",""
"2019-09-05","1359000","","","","19.99",""
"2019-09-06","1523000","","","","19.99",""
"2019-09-07","1406000","","","","19.99",""
"2019-09-08","1426000","","","#2B6A94","19.99",""
"2019-09-09","1393000","","","","19.99",""
"2019-09-10","1519000","","","","19.99",""
"2019-09-11","1507000","","","","19.99",""
"2019-09-12","1500000","","","","19.99",""
"2019-09-13","1489000","","","","19.99",""
"2019-09-14","1533000","","","","19.99",""
"2019-09-15","1561000","","","#2B6A94","19.99",""
"2019-09-16","1514000","","","","19.99",""
"2019-09-17","1356000","","","","19.99",""
"2019-09-18","1497000","","","","19.99",""
"2019-09-19","1508000","","","","19.99",""
"2019-09-20","1518000","","","","19.99",""
"2019-09-21","1553000","","","","19.99",""
"2019-09-22","1553000","","","#2B6A94","19.99",""
"2019-09-23","1374000","","","","19.99",""
"2019-09-24","1513000","","","","19.99",""
"2019-09-25","1365000","","","","19.99",""
"2019-09-26","1510000","","","","19.99",""
"2019-09-27","1510000","","","","19.99",""
"2019-09-28","1557000","","","","19.99",""
"2019-09-29","1569000","","","#2B6A94","19.99",""
"2019-09-30","1569000","","","","19.99",""
"2019-10-01","1508000","","","","19.99",""
"2019-10-02","1367000","","","","19.99",""
"2019-10-03","1369000","","","","19.99",""
"2019-10-04","1504000","","","","19.99",""
"2019-10-05","1562000","","","","19.99",""
"2019-10-06","1414000","","","#2B6A94","19.99",""
"2019-10-07","1379000","","","","19.99",""
"2019-10-08","1526000","","","","19.99",""
"2019-10-09","1376000","","","","19.99",""
"2019-10-10","1365000","","","","19.99",""
"2019-10-11","1365000","","","","7.49",""
"2019-10-12","1402000","","","","19.99",""
"2019-10-13","1581000","","","#2B6A94","19.99",""
"2019-10-14","1392000","","","","19.99",""
"2019-10-15","1373000","","","","7.49",""
"2019-10-16","1378000","","","","19.99",""
"2019-10-17","1379000","","","","19.99",""
"2019-10-18","1525000","","","","19.99",""
"2019-10-19","1575000","","","","7.49",""
"2019-10-20","1420000","","","#2B6A94","19.99",""
"2019-10-21","1390000","","","","19.99",""
"2019-10-22","1379000","","","","19.99",""
"2019-10-23","1506000","","","","19.99",""
"2019-10-24","1523000","","","","19.99",""
"2019-10-25","1526000","","","","19.99",""
"2019-10-26","1416000","","","","19.99",""
"2019-10-27","1586000","","","#2B6A94","19.99",""
"2019-10-28","1542000","","","","19.99",""
"2019-10-29","1542000","","","","19.99",""
"2019-10-30","1516000","","","","19.99",""
"2019-10-31","1520000","","","","19.99",""
"2019-11-01","494000","","","","19.99",""
"2019-11-02","1574000","","","","19.99",""
"2019-11-03","1574000","","","#2B6A94","19.99",""
"2019-11-04","1522000","","","","19.99",""
"2019-11-05","1522000","","","","19.99",""
"2019-11-06","1509000","","","","19.99",""
"2019-11-07","1367000","","","","19.99",""
"2019-11-08","1383000","","","","19.99",""
"2019-11-09","1542000","","","","19.99",""
"2019-11-10","1549000","","","#2B6A94","19.99",""
"2019-11-11","1518000","","","","19.99",""
"2019-11-12","1497000","","","","19.99",""
"2019-11-13","1366000","","","","19.99",""
"2019-11-14","1364000","","","","19.99",""
"2019-11-15","1370000","","","","19.99",""
"2019-11-16","1404000","","","","19.99",""
"2019-11-17","1528000","","","#2B6A94","19.99",""
"2019-11-18","1492000","","","","19.99",""
"2019-11-19","1459000","","","","19.99",""
"2019-11-20","1472000","","","","19.99",""
"2019-11-21","1458000","","","","19.99",""
"2019-11-22","1382000","","","","19.99",""
"2019-11-23","1404000","","","","19.99",""
"2019-11-24","1411000","","","#2B6A94","19.99",""
"2019-11-25","1492000","","","","19.99",""
"2019-11-26","1473000","","","","19.99",""
"2019-11-27","1388000","","","","19.99",""
"2019-11-28","1391000","","","","19.99",""
"2019-11-29","1402000","","","","19.99",""
"2019-11-30","1413000","","","","19.99",""
"2019-12-01","1499000","","","#2B6A94","19.99",""
"2019-12-02","1398000","","","","7.49",""
"2019-12-03","1390000","","","","7.49",""
"2019-12-04","1389000","","","","19.99",""
"2019-12-05","1388000","","","","19.99",""
"2019-12-06","1393000","","","","19.99",""
"2019-12-07","1410000","","","","19.99",""
"2019-12-08","1413000","","","#2B6A94","19.99",""
"2019-12-09","1460000","","","","19.99",""
"2019-12-10","1448000","","","","19.99",""
"2019-12-11","1429000","","","","19.99",""
"2019-12-12","1388000","","","","19.99",""
"2019-12-13","1442000","","","","19.99",""
"2019-12-14","1411000","","","","19.99",""
"2019-12-15","1463000","","","#2B6A94","19.99",""
"2019-12-16","1447000","","","","19.99",""
"2019-12-17","1447000","","","","19.99",""
"2019-12-18","1444000","","","","19.99",""
"2019-12-19","1437000","","","","19.99",""
"2019-12-20","1446000","","","","4.99",""
"2019-12-21","1473000","","","","4.99",""
"2019-12-22","1476000","","","#2B6A94","4.99",""
"2019-12-23","1459000","","","","4.99",""
"2019-12-24","1400000","","","","4.99",""
"2019-12-25","1414000","","","","4.99",""
"2019-12-26","1464000","","","","4.99",""
"2019-12-27","1464000","","","","4.99",""
"2019-12-28","1475000","","","","4.99",""
"2019-12-29","1479000","","","#2B6A94","4.99",""
"2019-12-30","1476000","","","","4.99",""
"2019-12-31","1468000","","","","4.99",""
"2020-01-01","1433000","","","","4.99",""
"2020-01-02","1428000","","","","4.99",""
"2020-01-03","1428000","","","","19.99",""
"2020-01-04","1435000","","","","19.99",""
"2020-01-05","1433000","","","#2B6A94","19.99",""
"2020-01-06","1433000","","","","19.99",""
"2020-01-07","1406000","","","","19.99",""
"2020-01-08","1403000","","","","19.99",""
"2020-01-09","1406000","","","","19.99",""
"2020-01-10","1410000","","","","19.99",""
"2020-01-11","1429000","","","","19.99",""
"2020-01-12","1479000","","","#2B6A94","19.99",""
"2020-01-13","1420000","","","","19.99",""
"2020-01-14","1452000","","","","19.99",""
"2020-01-15","1379000","","","","19.99",""
"2020-01-16","1377000","","","","19.99",""
"2020-01-17","1382000","","","","19.99",""
"2020-01-18","1382000","","","","19.99",""
"2020-01-19","1431000","","","#2B6A94","19.99",""
"2020-01-20","1391000","","","","19.99",""
"2020-01-21","1381000","","","","19.99",""
"2020-01-22","1358000","","","","19.99",""
"2020-01-23","1323000","","","","19.99",""
"2020-01-24","1330000","","","","7.49",""
"2020-01-25","1330000","","","","7.49",""
"2020-01-26","1345000","","","#2B6A94","19.99",""
"2020-01-27","1314000","","","","19.99",""
"2020-01-28","1274000","","","","19.99",""
"2020-01-29","1275000","","","","19.99",""
"2020-01-30","1277000","","","","19.99",""
"2020-01-31","1281000","","","","19.99",""
"2020-02-01","1264000","","","","19.99",""
"2020-02-02","1297000","","","#2B6A94","19.99",""
"2020-02-03","1284000","","","","19.99",""
"2020-02-04","1248000","","","","19.99",""
"2020-02-05","1242000","","","","19.99",""
"2020-02-06","1276000","","","","19.99",""
"2020-02-07","1249000","","","","19.99",""
"2020-02-08","1295000","","","","19.99",""
"2020-02-09","1300000","","","#2B6A94","19.99",""
"2020-02-10","1292000","","","","19.99",""
"2020-02-11","1244000","","","","19.99",""
"2020-02-12","1243000","","","","19.99",""
"2020-02-13","1273000","","","","19.99",""
"2020-02-14","1277000","","","","19.99",""
"2020-02-15","1293000","","","","19.99",""
"2020-02-16","1269000","","","#2B6A94","19.99",""
"2020-02-17","1258000","","","","19.99",""
