"date","Owners","event","link","color","Price","val3"
"2019-05-26","1998000","","","#2B6A94","0",""
"2019-05-27","1998000","","","","0",""
"2019-05-28","1998000","","","","0",""
"2019-05-29","2092000","","","","14.99",""
"2019-05-30","2095000","","","","14.99",""
"2019-05-31","2018000","","","","14.99",""
"2019-06-01","2042000","","","","14.99",""
"2019-06-02","2149000","","","#2B6A94","14.99",""
"2019-06-03","2042000","","","","14.99",""
"2019-06-04","2084000","","","","14.99",""
"2019-06-05","2014000","","","","14.99",""
"2019-06-06","2094000","","","","14.99",""
"2019-06-07","2031000","","","","14.99",""
"2019-06-08","2055000","","","","14.99",""
"2019-06-09","2072000","","","#2B6A94","14.99",""
"2019-06-10","2131000","","","","14.99",""
"2019-06-11","2112000","","","","14.99",""
"2019-06-12","2107000","","","","14.99",""
"2019-06-13","2100000","","","","14.99",""
"2019-06-14","2097000","","","","14.99",""
"2019-06-15","2053000","","","","14.99",""
"2019-06-16","2141000","","","#2B6A94","14.99",""
"2019-06-17","2108000","","","","14.99",""
"2019-06-18","2034000","","","","14.99",""
"2019-06-19","2034000","","","","14.99",""
"2019-06-20","2037000","","","","14.99",""
"2019-06-21","2095000","","","","14.99",""
"2019-06-22","2126000","","","","14.99",""
"2019-06-23","2065000","","","#2B6A94","14.99",""
"2019-06-24","2045000","","","","14.99",""
"2019-06-25","2114000","","","","14.99",""
"2019-06-26","2035000","","","","7.49",""
"2019-06-27","2039000","","","","7.49",""
"2019-06-28","2105000","","","","7.49",""
"2019-06-29","2129000","","","","7.49",""
"2019-06-30","2065000","","","#2B6A94","7.49",""
"2019-07-01","2105000","","","","7.49",""
"2019-07-02","2089000","","","","7.49",""
"2019-07-03","2084000","","","","7.49",""
"2019-07-04","2019000","","","","7.49",""
"2019-07-05","2005000","","","","7.49",""
"2019-07-06","2024000","","","","7.49",""
"2019-07-07","2126000","","","#2B6A94","7.49",""
"2019-07-08","2107000","","","","7.49",""
"2019-07-09","2012000","","","","14.99",""
"2019-07-10","2072000","","","","14.99",""
"2019-07-11","2074000","","","","14.99",""
"2019-07-12","1990000","","","","14.99",""
"2019-07-13","2103000","","","","14.99",""
"2019-07-14","2045000","","","#2B6A94","14.99",""
"2019-07-15","2019000","","","","14.99",""
"2019-07-16","2002000","","","","14.99",""
"2019-07-17","1991000","","","","14.99",""
"2019-07-18","2064000","","","","14.99",""
"2019-07-19","1986000","","","","14.99",""
"2019-07-20","2090000","","","","14.99",""
"2019-07-21","2036000","","","#2B6A94","14.99",""
"2019-07-22","2013000","","","","14.99",""
"2019-07-23","1998000","","","","14.99",""
"2019-07-24","2115000","","","","4.94",""
"2019-07-25","2126000","","","","4.94",""
"2019-07-26","2120000","","","","4.94",""
"2019-07-27","2083000","","","","4.94",""
"2019-07-28","2192000","","","#2B6A94","4.94",""
"2019-07-29","2168000","","","","4.94",""
"2019-07-30","2080000","","","","4.94",""
"2019-07-31","2065000","","","","14.99",""
"2019-08-01","2133000","","","","14.99",""
"2019-08-02","2111000","","","","14.99",""
"2019-08-03","2137000","","","","14.99",""
"2019-08-04","2156000","","","#2B6A94","14.99",""
"2019-08-05","2064000","","","","14.99",""
"2019-08-06","2031000","","","","14.99",""
"2019-08-07","2024000","","","","14.99",""
"2019-08-08","2103000","","","","14.99",""
"2019-08-09","2100000","","","","14.99",""
"2019-08-10","2050000","","","","14.99",""
"2019-08-11","2068000","","","#2B6A94","14.99",""
"2019-08-12","2031000","","","","14.99",""
"2019-08-13","2099000","","","","14.99",""
"2019-08-14","2073000","","","","14.99",""
"2019-08-15","2088000","","","","14.99",""
"2019-08-16","2077000","","","","14.99",""
"2019-08-17","2113000","","","","14.99",""
"2019-08-18","2079000","","","#2B6A94","14.99",""
"2019-08-19","2048000","","","","14.99",""
"2019-08-20","2093000","","","","14.99",""
"2019-08-21","2086000","","","","14.99",""
"2019-08-22","2084000","","","","14.99",""
"2019-08-23","2084000","","","","14.99",""
"2019-08-24","2084000","","","","14.99",""
"2019-08-25","2084000","","","#2B6A94","14.99",""
"2019-08-26","2084000","","","","14.99",""
"2019-08-27","1993000","","","","14.99",""
"2019-08-28","1997000","","","","14.99",""
"2019-08-29","1989000","","","","14.99",""
"2019-08-30","1987000","","","","14.99",""
"2019-08-31","2102000","","","","14.99",""
"2019-09-01","2126000","","","#2B6A94","14.99",""
"2019-09-02","2124000","","","","14.99",""
"2019-09-03","2107000","","","","14.99",""
"2019-09-04","1982000","","","","14.99",""
"2019-09-05","1971000","","","","14.99",""
"2019-09-06","2051000","","","","14.99",""
"2019-09-07","2017000","","","","14.99",""
"2019-09-08","2026000","","","#2B6A94","14.99",""
"2019-09-09","2002000","","","","14.99",""
"2019-09-10","2042000","","","","14.99",""
"2019-09-11","1957000","","","","14.99",""
"2019-09-12","2034000","","","","14.99",""
"2019-09-13","2033000","","","","14.99",""
"2019-09-14","1982000","","","","14.99",""
"2019-09-15","2075000","","","#2B6A94","14.99",""
"2019-09-16","2050000","","","","14.99",""
"2019-09-17","2035000","","","","14.99",""
"2019-09-18","1948000","","","","14.99",""
"2019-09-19","2025000","","","","14.99",""
"2019-09-20","2030000","","","","14.99",""
"2019-09-21","2049000","","","","14.99",""
"2019-09-22","2049000","","","#2B6A94","14.99",""
"2019-09-23","2051000","","","","14.99",""
"2019-09-24","1947000","","","","14.99",""
"2019-09-25","1951000","","","","14.99",""
"2019-09-26","2029000","","","","14.99",""
"2019-09-27","2029000","","","","14.99",""
"2019-09-28","2057000","","","","14.99",""
"2019-09-29","1996000","","","#2B6A94","14.99",""
"2019-09-30","2055000","","","","14.99",""
"2019-10-01","1954000","","","","14.99",""
"2019-10-02","1949000","","","","14.99",""
"2019-10-03","2028000","","","","14.99",""
"2019-10-04","1948000","","","","14.99",""
"2019-10-05","2049000","","","","14.99",""
"2019-10-06","2066000","","","#2B6A94","14.99",""
"2019-10-07","2045000","","","","14.99",""
"2019-10-08","1953000","","","","14.99",""
"2019-10-09","2031000","","","","14.99",""
"2019-10-10","1951000","","","","14.99",""
"2019-10-11","1953000","","","","14.99",""
"2019-10-12","1978000","","","","14.99",""
"2019-10-13","2072000","","","#2B6A94","14.99",""
"2019-10-14","2053000","","","","14.99",""
"2019-10-15","2040000","","","","14.99",""
"2019-10-16","1958000","","","","14.99",""
"2019-10-17","1956000","","","","14.99",""
"2019-10-18","2043000","","","","14.99",""
"2019-10-19","2070000","","","","14.99",""
"2019-10-20","2100000","","","#2B6A94","14.99",""
"2019-10-21","1087000","","","","14.99",""
"2019-10-22","1969000","","","","14.99",""
"2019-10-23","2059000","","","","14.99",""
"2019-10-24","2054000","","","","14.99",""
"2019-10-25","2051000","","","","14.99",""
"2019-10-26","2003000","","","","14.99",""
"2019-10-27","2012000","","","#2B6A94","14.99",""
"2019-10-28","2012000","","","","14.99",""
"2019-10-29","2012000","","","","14.99",""
"2019-10-30","2045000","","","","14.99",""
"2019-10-31","2038000","","","","14.99",""
"2019-11-01","2038000","","","","14.99",""
"2019-11-02","2073000","","","","14.99",""
"2019-11-03","2080000","","","#2B6A94","14.99",""
"2019-11-04","2061000","","","","14.99",""
"2019-11-05","2061000","","","","14.99",""
"2019-11-06","2033000","","","","14.99",""
"2019-11-07","1966000","","","","14.99",""
"2019-11-08","1967000","","","","14.99",""
"2019-11-09","2060000","","","","14.99",""
"2019-11-10","2074000","","","#2B6A94","14.99",""
"2019-11-11","2056000","","","","14.99",""
"2019-11-12","2045000","","","","14.99",""
"2019-11-13","2040000","","","","14.99",""
"2019-11-14","1970000","","","","14.99",""
"2019-11-15","1973000","","","","14.99",""
"2019-11-16","1990000","","","","14.99",""
"2019-11-17","2008000","","","#2B6A94","14.99",""
"2019-11-18","2055000","","","","14.99",""
"2019-11-19","2042000","","","","14.99",""
"2019-11-20","2041000","","","","14.99",""
"2019-11-21","2040000","","","","14.99",""
"2019-11-22","1979000","","","","14.99",""
"2019-11-23","1998000","","","","14.99",""
"2019-11-24","1998000","","","#2B6A94","14.99",""
"2019-11-25","2057000","","","","14.99",""
"2019-11-26","1120000","","","","14.99",""
"2019-11-27","1999000","","","","4.49",""
"2019-11-28","2002000","","","","4.49",""
"2019-11-29","2010000","","","","4.49",""
"2019-11-30","2030000","","","","4.49",""
"2019-12-01","2115000","","","#2B6A94","4.49",""
"2019-12-02","2081000","","","","4.49",""
"2019-12-03","2072000","","","","4.49",""
"2019-12-04","2002000","","","","14.99",""
"2019-12-05","1995000","","","","14.99",""
"2019-12-06","1997000","","","","14.99",""
"2019-12-07","2083000","","","","14.99",""
"2019-12-08","2034000","","","#2B6A94","14.99",""
"2019-12-09","2073000","","","","14.99",""
"2019-12-10","2063000","","","","14.99",""
"2019-12-11","1996000","","","","14.99",""
"2019-12-12","2056000","","","","14.99",""
"2019-12-13","2059000","","","","14.99",""
"2019-12-14","2075000","","","","14.99",""
"2019-12-15","2084000","","","#2B6A94","14.99",""
"2019-12-16","2074000","","","","14.99",""
"2019-12-17","2066000","","","","14.99",""
"2019-12-18","2062000","","","","14.99",""
"2019-12-19","2061000","","","","14.99",""
"2019-12-20","2062000","","","","4.49",""
"2019-12-21","2080000","","","","4.49",""
"2019-12-22","2089000","","","#2B6A94","4.49",""
"2019-12-23","2089000","","","","4.49",""
"2019-12-24","2083000","","","","4.49",""
"2019-12-25","2029000","","","","4.49",""
"2019-12-26","2095000","","","","4.49",""
"2019-12-27","2095000","","","","4.49",""
"2019-12-28","2107000","","","","4.49",""
"2019-12-29","2114000","","","#2B6A94","4.49",""
"2019-12-30","2114000","","","","4.49",""
"2019-12-31","2104000","","","","4.49",""
"2020-01-01","2118000","","","","4.49",""
"2020-01-02","2114000","","","","4.49",""
"2020-01-03","2114000","","","","14.99",""
"2020-01-04","2055000","","","","14.99",""
"2020-01-05","2115000","","","#2B6A94","14.99",""
"2020-01-06","2115000","","","","14.99",""
"2020-01-07","2028000","","","","14.99",""
"2020-01-08","2026000","","","","14.99",""
"2020-01-09","2022000","","","","14.99",""
"2020-01-10","2025000","","","","14.99",""
"2020-01-11","2047000","","","","14.99",""
"2020-01-12","2050000","","","#2B6A94","14.99",""
"2020-01-13","2050000","","","","14.99",""
"2020-01-14","2018000","","","","14.99",""
"2020-01-15","2049000","","","","14.99",""
"2020-01-16","2050000","","","","14.99",""
"2020-01-17","1983000","","","","14.99",""
"2020-01-18","1982000","","","","14.99",""
"2020-01-19","1989000","","","#2B6A94","14.99",""
"2020-01-20","1941000","","","","14.99",""
"2020-01-21","1925000","","","","14.99",""
"2020-01-22","1952000","","","","14.99",""
"2020-01-23","1901000","","","","4.49",""
"2020-01-24","1847000","","","","4.49",""
"2020-01-25","1847000","","","","4.49",""
"2020-01-26","1932000","","","#2B6A94","4.49",""
"2020-01-27","1893000","","","","4.49",""
"2020-01-28","1858000","Daily Deal - The Elder Scrolls IV: Oblivion Game of the Year Edition, 70% Off","https://store.steampowered.com/news/58022/","#0DAD9E","4.49",""
"2020-01-29","1867000","","","","4.49",""
"2020-01-30","1869000","","","","4.49",""
"2020-01-31","1864000","","","","14.99",""
"2020-02-01","1877000","","","","14.99",""
"2020-02-02","1877000","","","#2B6A94","14.99",""
"2020-02-03","1868000","","","","14.99",""
"2020-02-04","1858000","","","","14.99",""
"2020-02-05","1797000","","","","14.99",""
"2020-02-06","1795000","","","","14.99",""
"2020-02-07","1859000","","","","14.99",""
"2020-02-08","1865000","","","","14.99",""
"2020-02-09","1872000","","","#2B6A94","14.99",""
"2020-02-10","1864000","","","","14.99",""
"2020-02-11","1791000","","","","14.99",""
"2020-02-12","1790000","","","","14.99",""
"2020-02-13","1790000","","","","14.99",""
"2020-02-14","1790000","","","","14.99",""
"2020-02-15","1865000","","","","14.99",""
"2020-02-16","1872000","","","#2B6A94","14.99",""
"2020-02-17","1808000","","","","14.99",""
"2020-02-18","1792000","","","","14.99",""
"2020-02-19","1849000","","","","14.99",""
"2020-02-20","1789000","","","","14.99",""
"2020-02-21","1791000","","","","14.99",""
"2020-02-22","1859000","","","","14.99",""
"2020-02-23","1812000","","","#2B6A94","14.99",""
"2020-02-24","1858000","","","","14.99",""
"2020-02-25","1790000","","","","14.99",""
"2020-02-26","1789000","","","","14.99",""
"2020-02-27","1854000","","","","14.99",""
"2020-02-28","1858000","","","","14.99",""
"2020-02-29","1145000","","","","14.99",""
"2020-03-01","1817000","","","#2B6A94","14.99",""
"2020-03-02","1862000","","","","14.99",""
"2020-03-03","1794000","","","","14.99",""
"2020-03-04","377000","","","","14.99",""
"2020-03-05","1858000","","","","14.99",""
"2020-03-06","1861000","","","","14.99",""
"2020-03-07","1868000","","","","14.99",""
"2020-03-08","1873000","","","#2B6A94","14.99",""
"2020-03-09","1867000","","","","14.99",""
"2020-03-10","1802000","","","","14.99",""
"2020-03-11","1802000","","","","14.99",""
"2020-03-12","1802000","","","","14.99",""
"2020-03-13","1809000","","","","14.99",""
"2020-03-14","1877000","","","","14.99",""
"2020-03-15","1882000","","","#2B6A94","14.99",""
"2020-03-16","1878000","","","","14.99",""
"2020-03-17","1833000","","","","14.99",""
"2020-03-18","1835000","","","","14.99",""
"2020-03-19","1880000","","","","14.99",""
"2020-03-20","1880000","","","","14.99",""
"2020-03-21","1848000","","","","14.99",""
"2020-03-22","1851000","","","#2B6A94","14.99",""
