"date","Owners","event","link","color","Price","val3"
"2019-05-26","11079000","","","#2B6A94","0",""
"2019-05-27","11079000","","","","0",""
"2019-05-28","11079000","","","","0",""
"2019-05-29","11273000","","","","19.99",""
"2019-05-30","11281000","","","","19.99",""
"2019-05-31","11281000","","","","19.99",""
"2019-06-01","11326000","","","","19.99",""
"2019-06-02","11399000","","","#2B6A94","19.99",""
"2019-06-03","11298000","","","","19.99",""
"2019-06-04","11287000","","","","19.99",""
"2019-06-05","11283000","","","","19.99",""
"2019-06-06","11286000","","","","19.99",""
"2019-06-07","11287000","","","","19.99",""
"2019-06-08","11331000","","","","19.99",""
"2019-06-09","11388000","","","#2B6A94","19.99",""
"2019-06-10","11317000","","","","19.99",""
"2019-06-11","11294000","","","","19.99",""
"2019-06-12","11291000","","","","19.99",""
"2019-06-13","11293000","","","","19.99",""
"2019-06-14","11283000","","","","19.99",""
"2019-06-15","11332000","","","","19.99",""
"2019-06-16","11392000","","","#2B6A94","19.99",""
"2019-06-17","11316000","","","","19.99",""
"2019-06-18","11298000","","","","19.99",""
"2019-06-19","11295000","","","","19.99",""
"2019-06-20","11316000","","","","19.99",""
"2019-06-21","11294000","","","","19.99",""
"2019-06-22","11337000","","","","19.99",""
"2019-06-23","11382000","","","#2B6A94","19.99",""
"2019-06-24","11310000","","","","19.99",""
"2019-06-25","11289000","","","","19.99",""
"2019-06-26","11268000","","","","19.99",""
"2019-06-27","11251000","","","","19.99",""
"2019-06-28","11224000","","","","19.99",""
"2019-06-29","11265000","","","","19.99",""
"2019-06-30","11260000","","","#2B6A94","19.99",""
"2019-07-01","11154000","","","","19.99",""
"2019-07-02","11119000","","","","19.99",""
"2019-07-03","11097000","","","","19.99",""
"2019-07-04","11115000","","","","19.99",""
"2019-07-05","11082000","","","","19.99",""
"2019-07-06","11103000","","","","19.99",""
"2019-07-07","11125000","","","#2B6A94","19.99",""
"2019-07-08","11075000","","","","19.99",""
"2019-07-09","11078000","","","","19.99",""
"2019-07-10","11060000","","","","19.99",""
"2019-07-11","11073000","","","","19.99",""
"2019-07-12","11058000","","","","19.99",""
"2019-07-13","11109000","","","","19.99",""
"2019-07-14","11149000","","","#2B6A94","19.99",""
"2019-07-15","11094000","","","","19.99",""
"2019-07-16","11087000","","","","19.99",""
"2019-07-17","11076000","","","","19.99",""
"2019-07-18","11073000","","","","19.99",""
"2019-07-19","11073000","","","","19.99",""
"2019-07-20","11112000","","","","19.99",""
"2019-07-21","11157000","","","#2B6A94","19.99",""
