"date","Owners","event","link","color","Price","val3"
"2019-05-26","5620000","","","#2B6A94","0",""
"2019-05-27","5620000","","","","0",""
"2019-05-28","5620000","","","","0",""
"2019-05-29","5896000","","","","39.99",""
"2019-05-30","5878000","","","","39.99",""
"2019-05-31","5886000","","","","39.99",""
"2019-06-01","5854000","","","","39.99",""
"2019-06-02","5834000","","","#2B6A94","39.99",""
"2019-06-03","5904000","","","","39.99",""
"2019-06-04","5910000","","","","39.99",""
"2019-06-05","5914000","","","","39.99",""
"2019-06-06","5915000","","","","39.99",""
"2019-06-07","5916000","","","","39.99",""
"2019-06-08","5876000","","","","39.99",""
"2019-06-09","5858000","","","#2B6A94","39.99",""
"2019-06-10","5895000","","","","39.99",""
"2019-06-11","5870000","","","","11.99",""
"2019-06-12","5822000","","","","11.99",""
"2019-06-13","5814000","","","","11.99",""
"2019-06-14","5796000","","","","11.99",""
"2019-06-15","5732000","","","","11.99",""
"2019-06-16","5708000","","","#2B6A94","11.99",""
"2019-06-17","5766000","","","","11.99",""
"2019-06-18","5792000","","","","39.99",""
"2019-06-19","5814000","","","","39.99",""
"2019-06-20","5796000","","","","39.99",""
"2019-06-21","5825000","","","","39.99",""
"2019-06-22","5783000","","","","39.99",""
"2019-06-23","5776000","","","#2B6A94","39.99",""
"2019-06-24","5861000","","","","39.99",""
"2019-06-25","5877000","","","","39.99",""
"2019-06-26","5873000","","","","11.99",""
"2019-06-27","5867000","","","","11.99",""
"2019-06-28","5855000","","","","11.99",""
"2019-06-29","5803000","","","","11.99",""
"2019-06-30","5966000","","","#2B6A94","11.99",""
"2019-07-01","6122000","","","","11.99",""
"2019-07-02","6180000","","","","11.99",""
"2019-07-03","6241000","","","","11.99",""
"2019-07-04","6274000","","","","11.99",""
"2019-07-05","6325000","","","","11.99",""
"2019-07-06","6342000","","","","11.99",""
"2019-07-07","6362000","","","#2B6A94","11.99",""
"2019-07-08","6423000","","","","11.99",""
"2019-07-09","6426000","","","","11.99",""
"2019-07-10","6444000","","","","39.99",""
"2019-07-11","6459000","","","","39.99",""
"2019-07-12","6465000","","","","39.99",""
"2019-07-13","6439000","","","","39.99",""
"2019-07-14","6433000","","","#2B6A94","39.99",""
"2019-07-15","6490000","","","","39.99",""
"2019-07-16","6507000","","","","39.99",""
"2019-07-17","6520000","","","","39.99",""
"2019-07-18","6529000","","","","39.99",""
"2019-07-19","6534000","","","","39.99",""
"2019-07-20","6481000","","","","39.99",""
"2019-07-21","6461000","","","#2B6A94","39.99",""
"2019-07-22","6529000","","","","39.99",""
"2019-07-23","6544000","","","","39.99",""
"2019-07-24","6556000","","","","39.99",""
"2019-07-25","6565000","","","","39.99",""
"2019-07-26","6571000","","","","39.99",""
"2019-07-27","6532000","","","","39.99",""
"2019-07-28","6508000","","","#2B6A94","39.99",""
"2019-07-29","6576000","","","","39.99",""
"2019-07-30","6584000","","","","39.99",""
"2019-07-31","6589000","","","","39.99",""
