Column1;Column2;Column3
1;Into the Breach;468000
2;Dead Cells;1601000
3;Return of the Obra Dinn;257000
4;The Curse of Monkey Island;93000
5;MONSTER HUNTER: WORLD;9617000
6;Celeste;582000
7;Pillars of Eternity II: Deadfire;572000
8;DUSK;407000
9;RimWorld;2085000
10;Unavowed;89000
11;Hellblade: Senua's Sacrifice VR Edition;50000
12;Subnautica;3264000
13;Iconoclasts;97000
14;Yakuza 0;605000
15;Football Manager 2019;1163000
16;Escape from Monkey Island;23000
17;CrossCode;269000
18;魔物讨伐团;84000
19;Octahedron: Transfixed Edition;9000
20;Thronebreaker: The Witcher Tales;275000
21;Russian Subway Dogs;3000
22;Full Metal Furies;144000
23;DRAGON BALL FighterZ;908000
24;Yoku's Island Express;98000
25;Reigns: Game of Thrones;73000
26;Sprint Vector;26000
27;Frostpunk;2160000
28;Knockout League - Arcade VR Boxing;15000
29;Guacamelee! 2;112000
30;GRIS;667000
31;The Messenger;186000
32;Parkitect;167000
33;The Forest;5204000
34;Myst III: Exile;79000
35;Super Mega Baseball 2;60000
36;Muv-Luv Alternative (マブラヴ オルタネイティヴ);10000
37;Two Point Hospital;977000
38;F1 2018;334000
39;Valkyria Chronicles 4 Complete Edition;304000
40;Pig Eat Ball;7000
41;Paladins;17365000
42;Gunheart;13000
43;Sunset Overdrive;260000
44;Warhammer: Vermintide 2;6316000
45;The Banner Saga 3;108000
46;Octogeddon;22000
47;Jimmy and the Pulsating Mass;12000
48;HITMAN 2;5481000
49;Myst IV: Revelation;6000
50;Wandersong;78000
51;Wreckfest;529000
52;Katamari Damacy REROLL;124000
53;CHUCHEL;166000
54;Ni no Kuni II: Revenant Kingdom;250000
55;The Legend of Heroes: Trails of Cold Steel II;60000
56;Moss;111000
57;Stronghold: A Hero's Fate;1000
58;The Elder Scrolls V: Skyrim VR;336000
59;The Hex;26000
60;Guns, Gore and Cannoli 2;132000
61;Overcooked! 2;886000
62;FAR: Lone Sails;343000
63;The Wizards - Enhanced Edition;35000
64;Unforeseen Incidents;53000
65;GRIP: Combat Racing;114000
66;The Red Strings Club;228000
67;The Gardens Between;27000
68;Hero-U: Rogue to Redemption;17000
69;PRO EVOLUTION SOCCER 2019;303000
70;Northgard;1560000
71;SOULCALIBUR VI;205000
72;Youropa;6000
73;TANGLEWOOD;2000
74;Minit;55000
75;The Awesome Adventures of Captain Spirit;1657000
76;Transpose;22000
77;For The King;704000
78;Semblance;11000
79;Space Invaders Extreme;5000
80;Wizard of Legend;688000
81;La-Mulana 2;30000
82;Objects in Space;12000
83;Impulsion;12000
84;Slime-san: Creator;0
85;The Adventure Pals;154000
86;Laser League;114000
87;Mutant Year Zero: Road to Eden;483000
88;Project Warlock;55000
89;Sairento VR;60000
90;Runner3;5000
91;Insurgency: Sandstorm;1094000
92;killer7;35000
93;Legendary Gary;2000
94;BATTLETECH;1067000
95;Pit People;336000
96;Warhammer 40,000: Mechanicus;102000
97;Groove Coaster;34000
98;The Chronicles of Nyanya;2000
99;Remothered: Tormented Fathers;47000
100;Shadow of the Tomb Raider: Definitive Edition;975000
101;Shadows: Awakening;48000
102;Donut County;162000
103;Ancestors Legacy;350000
104;A Case of Distrust;23000
105;Cross Racing Championship Extreme;3000
106;Solo;8000
107;Bloodstained: Curse of the Moon;104000
108;Tower of Time;57000
109;Tempest 4000;7000
110;Frozen Synapse 2;15000
111;Budget Cuts;71000
112;Candleman: The Complete Journey;18000
113;Beholder 2;294000
114;Dig or Die;168000
115;LEGO DC Super-Villains;39000
116;Forgotton Anne;27000
117;Aegis Defenders;20000
118;Aggressors: Ancient Rome;11000
119;NBA 2K19;847000
120;Kingdom Come: Deliverance;1781000
121;Artifact;1187000
122;Aggelos;2000
123;Horizon Chase Turbo;92000
124;Surviving Mars;609000
125;Q.U.B.E. 2;29000
126;Omensight: Definitive Edition;48000
127;Flipping Death;4000
128;Golem;4000
129;Project Hospital;205000
130;Kenshi;903000
131;Milanoir;4000
132;Wulverblade;9000
133;Prey: Typhon Hunter;34000
134;Ghost of a Tale;224000
135;Overload;51000
136;Vandals;3000
137;Torn;7000
138;Edge;2000
139;Dead In Vinland;58000
140;Ys: Memories of Celceta;15000
141;Party Hard 2;91000
142;Moonlighter;523000
143;Railway Empire;298000
144;Bladed Fury;272000
145;Nantucket;68000
146;Where the Water Tastes Like Wine;34000
147;Sleep Tight;3000
148;Bad North: Jotunn Edition;147000
149;The Swords of Ditto: Mormo's Curse;134000
150;Orwell: Ignorance is Strength;79000
151;Vietcong;8000
152;Distance;224000
153;Rad Rodgers - Radical Edition;4000
154;Windlands 2;7000
155;Insidia;91000
156;Monster Prom;424000
157;Umiro;10000
158;Farming Simulator 19;887000
159;Quarantine Circular;13000
160;Hacktag;15000
161;Battle Princess Madelyn;4000
162;Phantom Doctrine;148000
163;Tesla vs Lovecraft;34000
164;The Fall Part 2: Unbound;76000
165;RUSH;19000
166;The Haunted Island, a Frog Detective Game;42000
167;Pato Box;1000
168;Pathfinder: Kingmaker - Enhanced Edition;761000
169;Timespinner;41000
170;Grimmwood - They Come at Night;26000
171;My Brother Rabbit;19000
172;Apocalipsis;17000
173;Space Hulk: Tactics;15000
174;Vampyr;358000
175;Leisure Suit Larry - Wet Dreams Don't Dry;14000
176;Book of Demons;702000
177;The Golf Club 2019 featuring PGA TOUR;128000
178;Albion Online;1539000
179;The Office Quest;47000
180;The American Dream;10000
181;Judgment: Apocalypse Survival Simulation;98000
182;The Mage's Tale;5000
183;Lamplight City;45000
184;Chasm;75000
185;MOTHERGUNSHIP;117000
186;PLANET ALPHA;107000
187;All Walls Must Fall - A Tech-Noir Tactics Game;12000
188;The Station;19000
189;I Hate Running Backwards;8000
190;Not Tonight;52000
191;Cultist Simulator;507000
192;Warhammer 40,000: Gladius - Relics of War;105000
193;Gray Dawn;14000
194;Attack of the Earthlings;24000
195;Sea Dogs;3000
196;Runes of Magic;151000
197;Masters of Anima;13000
198;Death's Gambit;133000
199;39 Days to Mars;9000
200;Ultimate Fishing Simulator;129000
201;HELLGATE: London;139000
202;Warstone TD;149000
203;Deep Sky Derelicts;31000
204;Crossing Souls;82000
205;Darksiders III;236000
206;60 Parsecs!;84000
207;Ripped Pants at Work;1000
208;RIDE 3;115000
209;ATOM RPG: Post-apocalyptic indie game;239000
210;Lost in Harmony;1000
211;Dandara: Trials of Fear Edition;82000
212;Iris.Fall;42000
213;Z1 Battle Royale;10793000
214;Graveyard Keeper;682000
215;Jurassic World Evolution;1274000
216;Rifter;9000
217;State of Mind;47000
218;Pro Cycling Manager 2018;51000
219;Megaquarium;73000
220;Lume - Alpha Release;1000
221;FOX n FORESTS;1000
222;Override: Mech City Brawl;24000
223;Pure Farming 2018;53000
224;We Were Here Too;156000
225;Super Inefficient Golf;13000
226;Rust;11367000
227;Light Fall;3000
228;Trailblazers;2000
229;City of Brass;24000
230;Fishing: Barents Sea;82000
231;Ys VIII: Lacrimosa of DANA;70000
232;World of Warplanes;222000
233;My Memory of Us;9000
234;House Flipper;1030000
235;Zwei: The Arges Adventure;11000
236;Keepsake;36000
237;Mobile Forces;12000
238;TSIOQUE;27000
239;Battlezone: Combat Commander;61000
240;The Spectrum Retreat;10000
241;Just Cause 4 Reloaded;647000
242;TT Isle of Man Ride on the Edge;66000
243;Strange Brigade;109000
244;Metal Fatigue;30000
245;Shining Resonance Refrain;29000
246;WARTILE;27000
247;Genital Jousting;445000
248;Seeking Dawn;30000
249;Smoke and Sacrifice;16000
250;Empires Apart;120000
251;Seeking Dawn: Free to Play Edition;19000
252;Conan Exiles;1620000
253;Lake Ridden;10000
254;BELOW;33000
255;Inked;5000
256;Mulaka;5000
257;Warhammer 40,000: Inquisitor - Martyr;262000
258;Bus Simulator 18;217000
259;The Thin Silence;2000
260;Another Sight - Definitive Edition;3000
261;The Council;140000
262;The King's Bird;11000
263;This Is the Police 2;138000
264;The Shapeshifting Detective;33000
265;NARUTO TO BORUTO: SHINOBI STRIKER;411000
266;Fallen Legion+;7000
267;Downward Spiral: Horus Station;4000
268;Jalopy - Road Trip Car Driving Simulator Indie Game;208000
269;Gleaner Heights;27000
270;Gift of Parthax;4000
271;InnerSpace;9000
272;Ash of Gods: Redemption;81000
273;Antigraviator;6000
274;Naked Sun;12000
275;War Tech Fighters;13000
276;Touhou: Scarlet Curiosity | 東方紅輝心;26000
277;MachiaVillain;51000
278;Damsel;2000
279;Supposedly Wonderful Future;1000
280;Murderous Pursuits;1384000
281;Fable Fortune;97000
282;Strikers Edge;8000
283;Immortal: Unchained;56000
284;SINNER: Sacrifice for Redemption;14000
285;Lucid Dream Adventure;4000
286;Rise of Insanity;49000
287;HYPERGUN;3000
288;Gravel;17000
289;AIRHEART - Tales of broken Wings;20000
290;We Happy Few;172000
291;Earthfall;99000
292;Sea Dogs: City of Abandoned Ships;4000
293;Sword Art Online: Fatal Bullet;588000
294;Anamorphine;3000
295;Desert Child;2000
296;SYMMETRY;15000
297;Twilight Path;3000
298;Exorder;1000
299;Distortions;4000
300;Dakar 18;20000
301;Super Lucky's Tale;37000
302;Jagged Alliance: Rage!;4000
303;The Way of Kings: Escape the Shattered Plains;2000
304;ReCore: Definitive Edition;38000
305;Creepy Road;6000
306;The Path of Motus;1000
307;Shroud of the Avatar: Forsaken Virtues;220000
308;Mars or Die!;9000
309;City of the Shroud;2000
310;The Way of Life: DEFINITIVE EDITION;6000
311;Traffic Giant;7000
312;Paradise;4000
313;Achtung! Cthulhu Tactics;3000
314;Pizza Connection 3;72000
315;STONE;5000
316;The Great Escape;1000
317;INSOMNIA: The Ark;58000
318;METAL GEAR SURVIVE;185000
319;Haimrik;6000
320;YUMENIKKI -DREAM DIARY-;111000
321;Extinction;9000
322;Bullet Witch;43000
323;Lust for Darkness;50000
324;LIGHT;2000
325;Defiance 2050;414000
326;Unknown Fate;6000
327;Past Cure;4000
328;Agony;73000
329;Safe House;1000
330;KURSK;8000
331;Fear Effect Sedna;11000
332;Underworld Ascendant;26000
333;Industry Giant;2000
334;Shaq Fu: A Legend Reborn;3000
335;Wild West Online;129000
336;Sniper Rust VR;1000
337;NetHack: Legacy;1000
338;Resynth;1000
339;Alone;2000
340;AIDEN;3000
341;Pirate Code;3000
342;Fantasy Defense;6000
343;Mercury Race;1000
344;Tesseract VR;33000
345;Zero Killed;4000
346;Crazy Machines VR;2000
347;Kolumno;1000
348;Witch Thief;1000
349;Monster MIX;5000
350;Crazy Soccer: Football Stars;1000
351;Robo Puzzle Smash;1000
352;Legacy of Lina;3000
353;Zima uhodi!;41000
354;STE : Save The Earth;3000
355;Ice Cream Factory;2000
356;Awkward;1000
357;Around the World in 80 Days;6000
358;Cluster Dust;3000
359;Forever Space;9000
360;Viking Brothers 4;1000
361;Hacker News Reader;14000
362;Hostile User Interface;1000
363;AstroBlast VR;1000
364;Escape From Cozy Island;8000
365;Navalny: Posledniy miting;2000
366;Energy Invasion;27000
367;Good Boy!;2000
368;Stunt Corgi VR;1000
369;Dreams of Greatness;3000
370;KeyBoard Guitar Master;1000
371;Space2D;2000
372;Lost Frontier;1000
373;COSMONAUT;5000
374;Demolition Engineer;2000
375;RedSun RTS;1000
376;Badminton Kings VR;1000
377;Trippy Jump;1000
378;HORDE ATTACK;1000
379;Battlecursed;1000
380;Shinobi Bad Buddies;1000
381;Castle Agony;2000
382;Kingdoms Of Marazia;1000
383;LOGistICAL: Brazil;1000
384;Novas Las Aventurietas del Robercleiton: o Renascimento do TURBO;1000
385;Dino Dawn;1000
386;Bunker Rush;1000
387;The Adventures of Mr. Fluffykins;1000
388;End War RTS;1000
389;Afelhem;2000
390;McRogue;1000
391;Lords of Strife;1000
